# Observed cut height: 0.0030771804
# Observed size of largest cluster at observed cut height: 267
# Expected size of largest cluster at observed cut height: 70.3
# Observed maximum ratio statistic: 3.798
# Expected maximum ratio statistic: 1.989
# p-value: 0.0
# Clusters:
AAAS	ABI2	ABL2	ACAA2	ACACA	ACADVL	ACAT1	ACSL3	ACTN1	ACYP1	AFG3L2	AGTRAP	AHNAK	AHNAK2	AJUBA	AKAP9	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH1B1	ANXA1	APTX	ARCN1	AREG	ARHGAP5	ARL8B	ARPC1B	ATF7	ATPAF1	BATF3	BBC3	BCAR1	BCL3	BLVRA	BLVRB	CAMLG	CAPN1	CBR3	CCL2	CD24	CD44	CD47	CEBPB	CEBPD	CHAC2	CHML	CHURC1	COPZ2	COQ5	COQ9	CRYZ	CTSB	CTSL	CXCL1	CXCL3	CXCL5	CYB5B	CYB5R3	CYBA	CYP1B1	CYP2S1	DDIT3	DDX39A	DGKE	DHCR24	DHRS3	DHRS4	DIAPH1	DNM1L	DOCK5	ECH1	ECHDC1	ECI2	ECSIT	EHBP1	EHD1	EHD2	EPHX1	EREG	ERO1A	ETFB	EVL	EZR	FAT1	FBXO7	FDFT1	FDPS	FDXR	FERMT1	FJX1	FNIP1	FNTA	FOSL1	FOSL2	FRMD6	FXN	GFER	GGPS1	GLRX	GLUD1	GNAI2	GNAI3	GNB5	GNG11	GNG12	GORASP2	GPX2	GPX8	GSR	GSTO1	HADHA	HADHB	HCCS	HMGCS1	HMOX1	HMOX2	IDH1	ILK	ILKAP	ITFG2	JUNB	JUND	KEAP1	KIAA0930	KIF5B	KRAS	LAYN	LMAN1	LONP1	LYRM1	MAP2K3	MAP3K11	MET	MGLL	MGST1	MGST2	MLPH	MMP24	MVD	MYH9	MYOF	NCBP3	NCKAP1	NDUFA5	NDUFA9	NDUFAF4	NEIL2	NF2	NFE2L1	NFKBIA	NFKBIB	NKIRAS2	NPRL3	NUP155	NUP37	NUP62	NUS1	OCIAD1	OPN3	PAK2	PAK4	PALLD	PARD3	PDLIM5	PDLIM7	PEF1	PGAM5	PHF3	PKN1	PLAU	PLAUR	PNKP	PODXL	POR	PRKAG2	PROCR	PTGES	PTP4A1	PXN	QDPR	RAB10	RAB11B	RAB11FIP2	RAB14	RAB1B	RAB22A	RAB27B	RAB31	RAC3	RAE1	RALA	RALB	RDH10	RDH11	REL	RELB	RGS19	RHOB	RHOD	RHOV	RHPN2	RIC8A	RND3	ROCK2	RRAGA	S100A4	S100A6	S1PR3	SAR1A	SAR1B	SAV1	SCARB1	SCP2	SDC1	SEC13	SEPHS1	SERPINE2	SFN	SLC10A3	SNX2	SNX6	SOD2	SPG7	SULT2B1	SYNM	TAOK1	TAOK3	TBC1D20	TES	TFG	TFPI	THBD	THOC2	THOC3	THOC6	TIMMDC1	TMED1	TMED10	TMED4	TMED7	TMEM70	TNFAIP1	TNNT1	TPM1	TPM2	TPR	TRIB3	TRIM44	TRIM59	TRIP6	TWF1	TXNDC12	TXNDC9	TXNRD2	UBE2D4	UBL4A	VASP	VCL	VPS26A	VPS35	WASF2	WTIP	YBEY	YME1L1	ZYX
ACIN1	CPSF6	CUX1	DDX17	ETV4	EWSR1	FLII	HNRNPH1	LRRFIP2	LUC7L	MBNL1	NKTR	RBBP6	SON	SREK1	SRPK1	SRPK2	SRSF11	SRSF4	SRSF6	SRSF8	TIAL1	TRA2A	WDR33	ZBTB38
CPLX2	GCC2	GOSR2	PLIN3	RAB9A	RHOBTB3	SEC22C	SLC40A1	SNAP47	STX2	SYT1	TFRC	VAMP3	VAMP8	YKT6
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
CCNC	HEXIM1	HEXIM2	LARP7	LRPPRC	MEPCE	METTL16	SURF1	UBN1	WTAP	YTHDC1	YTHDF1	YTHDF2	ZC3H13
ATG12	ATG5	CFLAR	EIF2AK2	FADD	IPO5	IRF3	KPNA3	MAP1B	OAS1	RNF135
BASP1	CALM2	CKB	DAP	DAPK1	FKBP1B	GAMT	MARCKS	MARCKSL1	MYO10
BROX	CHMP1A	CHMP1B	CHMP5	HGS	RNF11	STAMBP	USP8	VPS28	VPS4A
CHTF8	CSAG1	NCAPD2	NSMCE1	PDS5A	SLF1	SLF2	SMC2	SMC5
DDOST	DERL1	HM13	KRTCAP2	SSR1	STT3B	TRAM1	TUSC3	UBE2J1
ALG3	ALG8	DPM1	DPM3	MPDU1	MTFMT	MTHFD1	MTHFD2L
COMMD1	COMMD10	COMMD2	COMMD3	COMMD5	CREB3	KLHDC2	PRAME
ACOT7	HACD1	HACD2	HSD17B12	SCD	TECR	THEM4
AGPAT1	AGPAT5	CDIPT	CDS2	GPAT4	PIGH	PIGP
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
DAP3	MRPL47	MRPL50	MRPS18B	MRPS27	MTERF4	MTIF3
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
COL4A2	COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
GPC1	PHLDB2	PPFIA1	PPFIBP1	PTPRF	PTPRS
BAG2	GRPEL1	HSPH1	SLC25A13	TIMM23
C1D	EXOSC7	MPHOSPH6	PNPT1	ZCCHC8
CCK	GAL	GIP	NLN	NTS
COPS6	COPS7A	COPS7B	COPS8	GPS1
IVNS1ABP	PRPS1	PRPS2	PRPSAP1	RPIA
ADA	ADK	AK3	PDE8A
ADIPOR2	APPL1	NAMPT	NNMT
ARF4	ARF5	ARFIP2	SCOC
ASPSCR1	PRCC	UBXN2A	UBXN4
B9D1	B9D2	TMEM107	TMEM237
GALNT1	GALNT2	HEXA	ST3GAL5
GRAMD1B	NPC1	NPC2	STARD3NL
HIP1	IFT27	IFT57	IFT81
HOXB6	HOXB9	MEIS2	PBX1
LMNA	LMNB2	SUN1	SYNE1
ODC1	PMF1	SAT1	SMOX
PPP1CB	PPP1R11	PPP1R12A	PPP1R7
ABCC1	ABCC2	ABCG2
ABT1	DDX10	RRP36
ADM	ECE2	EDN1
AP1G1	AP1M2	AP1S2
ARID4B	SAP30BP	SAP30L
ASAH1	CERS2	ELOVL1
ATP6AP1	ATP6V1D	TMEM199
CES2	ESD	HAGH
CHD3	GATAD2A	PHF20L1
CIAO1	CIAPIN1	NUBP1
CTBP1	CTBP2	PSAT1
CTDSP1	MBP	REST
DPYSL2	DPYSL3	FES
EIF2AK4	EIF2B1	EIF2B4
EIF4G2	MKNK1	MKNK2
ELAC2	ENDOG	EXOG
ELOVL5	FADS2	PTDSS1
FA2H	PANK2	PPCS
FGFR1OP2	MOB4	STRN3
FLAD1	PAPSS2	SLC26A2
FST	FSTL3	INHBB
HAUS1	HAUS2	HAUS6
HERC2	RNF8	UBE2E2
HES6	MSC	TLE1
HMGA1	HMGA2	LPP
IGBP1	MID1	TIPRL
IGFBP4	PAPPA	STC2
IGFBP6	PHLDA2	SLC22A18AS
KRT18	KRT19	KRT8
MAP3K8	TNIP1	TNIP2
MBD4	TDG	UNG
PFKFB3	PFKP	TIGAR
POLR3D	POLR3G	POLR3GL
PPP4R2	PPP4R3A	PPP4R3B
TAF1D	TCOF1	UBTF
TGM2	TOR1A	TOR1AIP2
TRMT6	TRMT61A	WDR4
TSPAN14	TSPAN15	TSPAN17
AGFG1	FCHO1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HTATSF1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH2
IDH3A
IDH3B
IDH3G
IDI1
IFNGR2
IFRD1
IFT43
IGF1R
IGF2
IGF2BP1
IGFBP3
IGFBP7
IK
IKBIP
IL11
IL13RA1
IL18
IL32
IL6ST
ILF2
IMMT
IMPAD1
IMPDH2
INA
INF2
ING2
INO80C
INO80E
INSIG1
IPO9
IQGAP1
IREB2
IRF1
IRS1
IRS2
ISG15
ISG20
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
JADE1
JAG1
JAK1
JMJD6
JUN
JUP
KANK1
KCTD1
KCTD9
KDM5A
KDSR
KHSRP
KIF14
KIF18A
KIF20B
KIF21A
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KLF3
KLF5
KLF6
KLHDC3
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA2
KPNA4
KPNA6
KRIT1
KRR1
KYNU
L3HYPDH
LACTB
LAMA5
LAMP1
LARP4
LAS1L
LBR
LDHA
LDLR
LEO1
LETM1
LGALS3
LGALS3BP
LIMA1
LIMS1
LMO4
LOXL2
LPIN1
LRFN4
LRP10
LRPAP1
LSM6
LTBP3
LTBP4
LYAR
MACF1
MAD2L1
MAD2L2
MAFK
MAGEF1
MAGOH
MAP1LC3A
MAP2K4
MAP3K14
MAP3K2
MAP4K4
MAP7
MAPK12
MAPK6
MAPK9
MAPKAPK3
MAPKAPK5
MAPRE1
MAVS
MBD2
MBD3
MCL1
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MCU
MDK
MDM2
MDM4
ME1
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED31
MED8
MELK
METTL21A
MFGE8
MFSD10
MICU1
MIF
MIS18BP1
MKI67
MLLT10
MLX
MLXIP
MNAT1
MND1
MPHOSPH10
MPRIP
MPV17
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL48
MRPL49
MRPS17
MRPS18A
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL1
MSL3
MSMO1
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTHFD2
MTIF2
MTRF1L
MTX2
MUC5AC
MVB12A
MVK
MXD4
MYC
MYCBP2
MYL6
MYO1B
NAA15
NAA60
NAE1
NAPA
NASP
NBL1
NBR1
NCBP2
NCL
NCOA3
NCOR2
NDRG1
NDUFA10
NDUFA13
NDUFA7
NDUFAF6
NDUFB5
NDUFS2
NECAP2
NEDD4L
NEDD9
NEK2
NEK6
NF1
NFE2L2
NFKB2
NGDN
NGRN
NIFK
NIP7
NIT2
NKAP
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPAS2
NPLOC4
NPM1
NQO1
NR0B1
NR2F2
NR3C1
NR4A1
NRBF2
NRCAM
NRG1
NRIP1
NRP1
NSD1
NSFL1C
NSL1
NT5C2
NT5E
NUAK1
NUDC
NUDT15
NUDT21
NUDT8
NUF2
NUFIP2
NUMBL
NUPR1
NUSAP1
NXN
OPTN
ORC6
OS9
PA2G4
PACS1
PAF1
PAK1IP1
PANK3
PARD6A
PARD6B
PBDC1
PBK
PCGF2
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDGFA
PDHA1
PDHB
PDIA3
PDIA4
PDK4
PDLIM1
PDRG1
PDXK
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFN1
PGK1
PHC2
PHF20
PHF23
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLPP2
PIF1
PIH1D1
PIR
PITPNA
PITPNC1
PKM
PKN2
PLCD3
PLEK2
PLIN2
PLK1
PLK2
PLPP5
PMAIP1
PMEPA1
PMPCA
PMPCB
PNISR
PNO1
PNRC2
POLR2A
POLR2D
POLR2H
PPAN
PPARG
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPP1R10
PPP1R14A
PPP1R15A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP5C
PPP6R1
PRC1
PRDX1
PRDX4
PREB
PRIM1
PRKCA
PRKCSH
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRSS3
PSAP
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD7
PSMD9
PSME1
PSME2
PSMG1
PSMG2
PSMG4
PSPH
PTCD3
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRJ
PTTG1
PTTG1IP
PUM3
PURA
PVR
PYCARD
PYM1
QKI
RAB21
RAB5A
RAB6A
RAB8A
RABEPK
RABGGTB
RACGAP1
RAD1
RAD21
RAD50
RAD51D
RAD9A
RAF1
RARG
RB1CC1
RBBP4
RBBP5
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM25
RBM28
RBM42
RBMX2
RBPMS
RCC1
RCC2
RDX
RECQL
RERE
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS14
RGS2
RHOQ
RICTOR
RIF1
RILP
RMI2
RNASEH2A
RNASEH2B
RNF40
RNF5
RNMT
ROCK1
RP9
RPA1
RPA2
RPE
RPF2
RPL22L1
RPL26
RPN2
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA4
RPS7
RRAS2
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP9
RSAD1
RSRC1
RSRC2
RTCA
RUVBL1
S100A2
SAMD4B
SBDS
SCAMP3
SCNM1
SCO1
SCO2
SCRIB
SDC4
SDCBP
SDF2
SDHAF2
SDHD
SDSL
SEC61A1
SENP6
SERPINE1
SERTAD3
SET
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SIRT7
SKAP2
SKIL
SLC16A3
SLC20A1
SLC25A3
SLC25A4
SLC25A6
SLC2A1
SLC2A3
SLC3A2
SLC7A5
SLC9A3R1
SLC9A3R2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCC2
SMARCD1
SMARCD2
SMARCE1
SMC1A
SMC4
SMC6
SMG1
SMKR1
SNRNP200
SNRNP27
SNRNP40
SNW1
SNX12
SNX8
SOCS2
SOCS3
SOCS6
SOX2
SOX4
SOX9
SPC25
SPDL1
SPECC1
SPHK1
SPP1
SPRED2
SPTAN1
SQLE
SRC
SREBF1
SRGAP1
SRGN
SRP68
SRP72
SRRT
SRSF3
SSB
SSBP1
SSBP4
SSH2
STAG2
STAMBPL1
STAT1
STAT3
STAU1
STK24
STK25
STOM
STRBP
STX4
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNPO
SYPL1
TACC1
TACC2
TACC3
TACO1
TAF11
TAF12
TAF15
TAF6
TAF7
TALDO1
TANK
TAPBP
TARDBP
TAX1BP1
TBL1X
TBL1XR1
TBX3
TCEA2
TCERG1
TCHP
TCTEX1D2
TCTN1
TEAD1
TEAD4
TERF1
TFAP2A
TFAP2C
TFDP2
TFF1
TGFB2
TGFBI
TGFBR1
TGFBR2
TGOLN2
THAP2
THAP7
THG1L
THRAP3
TIMELESS
TIMM44
TIMP1
TIMP2
TIPIN
TJP1
TKT
TLE4
TLN1
TMA16
TMEM106B
TMEM109
TMEM189
TMX1
TNFAIP2
TNFRSF10B
TNFRSF12A
TNPO3
TNRC6A
TNRC6B
TNS3
TNS4
TOB1
TOP1
TOP2A
TOP2B
TOPBP1
TOX4
TP53
TP53I13
TP53I3
TPX2
TRADD
TRAF2
TRAF3IP1
TRAF5
TRAPPC10
TRAPPC4
TRAPPC6A
TRIM56
TRIOBP
TRIP12
TRIP13
TRMT10C
TRUB2
TSFM
TSG101
TSN
TSNAX
TSR1
TSR2
TTC1
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB4B
TUBB6
TWIST2
TWISTNB
TXN
TXNRD1
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2E1
UBE2G1
UBE2G2
UBE2H
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL7
UBQLN1
UBR4
UCHL3
UCHL5
UCK2
UCP2
UHRF1
UMPS
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USO1
USP1
USP10
USP14
USP3
USP39
USP7
USP9X
UTP18
VAMP2
VDAC3
VGF
VIM
VKORC1L1
VPS25
VPS53
VTA1
WAC
WAPL
WBP11
WBP2
WBP4
WDR1
WDR18
WDR46
WDR5
WDR61
WDR73
WDR74
WDR76
WDR77
WDR82
WIPF2
WIPI2
WWC1
WWTR1
XBP1
XIAP
XPC
XPOT
XRCC2
XRCC5
XRCC6
YAF2
YEATS4
YWHAE
ZBTB7A
ZC3H18
ZC3H4
ZC3HAV1
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF326
ZNF622
ZNRD1
ZPR1
ZWILCH
ZWINT
