# Observed cut height: 0.009901826
# Observed size of largest cluster at observed cut height: 74
# Expected size of largest cluster at observed cut height: 15.0
# Observed maximum ratio statistic: 4.933
# Expected maximum ratio statistic: 1.855
# p-value: 0.0
# Clusters:
ACADVL	ACAT1	ACAT2	ACSL3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	BLVRA	CA12	CA8	CD24	CHML	CHURC1	CYB5B	CYP1B1	CYP24A1	CYP2S1	DHCR24	DHCR7	DHRS4	ELOVL5	EPHX1	ETFB	FADS2	FDFT1	FDPS	FNTA	FOXC1	G6PC3	GGCX	GGPS1	GPX2	GSTO1	HACD1	HACD2	HACD3	HADHA	HCCS	HMGCS1	HMOX1	HOXB13	HOXB8	HOXB9	HSD17B12	IDI1	INSIG1	KYNU	LYRM1	MAFK	MEIS2	MGLL	MLPH	MSMO1	MVD	NQO1	OPN3	PBX1	POR	PTDSS1	RAB22A	RAB27B	RABGGTB	RDH10	RDH11	SCD	SEPHS1	SQLE	SULT2B1	TEAD1	TEAD4	TXNRD1	VKORC1L1
AHNAK	AHNAK2	AP1G1	AP1M2	AP1S2	AP2A2	CAPN1	EHBP1	EHD2	HLA-A	MYOF	NECAP2	RAB10	RAB14	TAPBP
B4GALT1	B4GALT2	B4GALT4	GALE	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
AGR2	AGRN	COL18A1	DAG1	GPC1	LAMA5	LRFN4	PPFIBP1	PTPRF	PTPRS	SDC1
ARF4	ARF5	ARFIP2	ARL1	GCC2	RAB6A	VPS53
ATF5	CDC34	EGLN1	EPAS1	FLOT2	SLC2A1	STOM
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
CCL2	CXCL3	CXCL5	DHX33	IL18	PYCARD	TIMP1
ACBD3	CDC42EP3	GOLGA3	GOLGB1	GOPC	RHOQ
ARHGAP35	ARHGAP5	RHOB	RHPN2	RND3	ROCK2
B4GALNT1	GALNT1	GALNT2	HEXA	HEXB	ST3GAL5
CNTN1	FGFR1	NRCAM	NRP1	NRP2	VEGFB
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
ADAM10	ADAM17	TSPAN14	TSPAN15	TSPAN17
CEBPD	CELF1	MBNL1	QKI	RBPMS
CKAP4	DKK1	FZD2	SFRP1	WNT7B
IFT27	IFT43	IFT57	IFT81	TRAF3IP1
KRTCAP2	RPN2	STT3B	TRAM1	TUSC3
LETM1	MCU	MICU1	TRAPPC10	TRAPPC4
ACER3	ASAH1	KDSR	PSAP
CHMP1B	CHMP5	VPS28	VPS4A
CSE1L	KPNA1	KPNA2	KPNA4
DCDC2	TDP2	TOP1	TOP2B
EPB41L1	EPB41L2	EZR	MYH9
GRAMD1B	NPC1	NPC2	STARD3NL
IVNS1ABP	PRPS1	PRPS2	PRPSAP1
PROCR	SCARB1	TFPI	THBD
SERPINE2	SNX12	SNX6	VPS26A
STX4	STX8	VAMP3	VAMP8
ABCC1	ABCC2	ABCG2
ADIPOR2	NAMPT	NNMT
AHI1	B9D1	CEP290
ALG3	ALG8	BAIAP2L1
ARCN1	COPZ2	TMED10
ARL6IP1	ATL3	RTN3
ATP6AP1	ATP6AP2	ATP6V1E2
AXL	IL13RA1	JAK1
BASP1	MARCKS	MARCKSL1
BATF3	FOSL1	JUND
C19orf12	FA2H	PANK3
CASK	EPS8	EPS8L2
CDIPT	PIGH	PIGP
CHCHD6	MTX1	MTX2
COMMD1	COMMD2	COMMD5
COX16	L3HYPDH	TMEM109
EEF1A2	FLAD1	PAPSS2
FST	FSTL3	INHBB
HES6	MSC	TLE1
HMGA1	HMGA2	LPP
IGFBP7	MMP24	TIMP2
KANK1	KIF21A	PHLDB2
KRT18	KRT19	KRT8
LACTB	UBXN2A	UBXN4
MLX	MLXIP	MXD4
NGRN	RPUSD1	RPUSD3
NSMCE1	SLF1	SLF2
TNNT1	TPM1	TPM2
ACD	TERF1
CCZ1
CD2BP2
CD3EAP
CD44
CD47
CD81
CD9
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
CDT1
CDYL
CEBPB
CEBPZ
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP55
CERS2
CES1
CETN2
CFAP20
CFDP1
CFLAR
CHAC2
CHAF1A
CHAMP1
CHD1
CHD3
CHD4
CHEK1
CHMP1A
CHMP2B
CHORDC1
CHTF8
CIAO1
CIAPIN1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLCF1
CLDN1
CLINT1
CLIP1
CLSPN
CLU
CMPK1
CNOT1
CNOT2
CNOT4
CNP
CNPY3
COIL
COL4A2
COL7A1
COMMD10
COMMD3
COMMD9
COPS5
COPS7A
COPS7B
CPSF6
CREB1
CREB3
CRELD2
CRTC3
CRYZ
CS
CSAG1
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTBP1
CTBP2
CTCF
CTDSP1
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSA
CTSC
CTSD
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL1
CXCL2
CXCL8
CYB5R3
CYBA
DAAM1
DAP
DAP3
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCTD
DCTN1
DCTN2
DCTN6
DDB1
DDB2
DDIT3
DDIT4
DDOST
DDX10
DDX17
DDX18
DDX23
DDX24
DDX27
DDX39A
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL1
DERL2
DESI1
DGKD
DGKE
DHPS
DHRS3
DHX15
DHX9
DIAPH1
DIMT1
DIO2
DLC1
DLD
DLGAP5
DMWD
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC4
DNAJC8
DNM1L
DNTTIP2
DOCK5
DPCD
DPF2
DPH2
DPM1
DPM3
DR1
DRAM1
DRG1
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1I2
DYNC1LI1
DYNC1LI2
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
E2F6
EAPP
ECH1
ECHDC1
ECI2
ECSIT
ECT2
EDN1
EEA1
EEF1A1
EEF2KMT
EFNA1
EFNA5
EFTUD2
EGFR
EHD1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2AK4
EIF2B1
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAC2
ELAVL1
ELOVL1
EMC3
ENDOG
ENO1
ENTPD6
EPC1
EPHA2
EPN2
ERAL1
ERGIC2
ERLIN2
ERN1
ERO1A
ERRFI1
ERV3-1
ESAM
ESD
ESF1
ETV4
EVL
EWSR1
EXOC7
EXOG
EXOSC1
EXOSC2
EXOSC3
EXOSC6
EXOSC7
EXOSC8
F2RL1
FAAP24
FADD
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FARSA
FARSB
FAT1
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXO7
FBXW11
FCHO1
FDXR
FEN1
FERMT1
FGA
FGF2
FGFR1OP2
FH
FHL1
FHL2
FILIP1
FJX1
FKBP10
FKBP11
FKBP1B
FKBP3
FLNA
FMNL1
FN1
FNIP1
FOSL2
FOXA2
FTSJ1
FTSJ3
FUBP1
FUNDC1
FXN
G3BP1
G3BP2
GABPB1
GADD45A
GADD45B
GALK1
GAN
GAPDH
GAR1
GAS2L1
GATAD2A
GATC
GCFC2
GDF15
GFER
GFRA1
GIGYF1
GINS1
GINS4
GIP
GIT1
GJA1
GJC1
GLIPR1
GLRX
GLUD1
GMNN
GMPS
GNAI2
GNAI3
GNAQ
GNB5
GNG11
GNG12
GNL3
GNPAT
GOLT1B
GORASP2
GOSR1
GOSR2
GOT1
GPN1
GPN3
GPS1
GPX3
GPX8
GREM1
GRIN2B
GRK6
GRN
GRPEL1
GRWD1
GSR
GTF2F1
GTF2F2
GTF2H1
GTF3C2
GTPBP4
GTSE1
GULP1
HADHB
HAGH
HAT1
HAUS1
HAUS2
HAUS6
HCFC1
HDAC1
HDAC2
HDAC3
HECW1
HERC2
HERPUD1
HES1
HEXIM1
HEXIM2
HGS
HIF1A
HIP1
HIPK2
HJURP
HM13
HMG20B
HMGB2
HMGXB4
HMMR
HMOX2
HNRNPDL
HNRNPH1
HOXB6
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH1
IDH2
IDH3A
IDH3B
IDH3G
IFNGR2
IFRD1
IGF1R
IGF2
IGF2BP1
IGFBP3
IGFBP4
IGFBP6
IK
IKBIP
IL11
IL32
IL6ST
ILF2
ILK
ILKAP
IMMT
IMPAD1
IMPDH1
IMPDH2
INA
INF2
ING2
INO80C
INO80E
IPO5
IPO9
IQGAP1
IRF1
IRF3
IRS1
IRS2
ISG15
ISG20
ITFG2
ITGA2
ITGA3
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
JADE1
JAG1
JMJD6
JUN
JUNB
KCTD1
KCTD9
KEAP1
KHSRP
KIAA0930
KIF14
KIF18A
KIF20B
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KIF5B
KLF3
KLF5
KLF6
KLHDC2
KLHDC3
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA3
KPNA6
KRAS
KRIT1
KRR1
LAMC2
LAMP1
LARP4
LARP7
LAS1L
LAYN
LBR
LCMT1
LDHA
LEO1
LGALS3
LGALS3BP
LIMA1
LIMS1
LMAN1
LMNB2
LONP1
LOXL2
LRP10
LRPAP1
LSM6
LTBP3
LTBP4
LUC7L
LYAR
MACF1
MAD2L1
MAD2L2
MAGEF1
MAGOH
MANF
MAP1B
MAP1LC3A
MAP2K3
MAP2K4
MAP3K11
MAP3K14
MAP3K2
MAP3K8
MAP4
MAP4K4
MAP7
MAPK12
MAPK6
MAPK9
MAPKAPK3
MAPKAPK5
MAPRE1
MARK3
MAVS
MAX
MBD2
MBD3
MBP
MCL1
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MDK
MDM2
MDM4
ME1
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
MEPCE
MET
METTL16
METTL21A
MFGE8
MFSD10
MGST1
MGST2
MIF
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MNAT1
MND1
MOB4
MPDU1
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL47
MRPL48
MRPL49
MRPL50
MRPS17
MRPS18A
MRPS18B
MRPS27
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL1
MSL3
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTERF4
MTFMT
MTHFD1
MTIF2
MTIF3
MTRF1L
MUC5AC
MVB12A
MVK
MYC
MYCBP2
MYL6
MYO10
MYO1B
NAE1
NAPA
NASP
NBL1
NBR1
NCAPD2
NCBP2
NCBP3
NCKAP1
NCL
NCOA3
NCOR2
NDFIP1
NDRG1
NDUFA10
NDUFA13
NDUFA7
NDUFA9
NDUFAF4
NDUFAF6
NDUFB5
NDUFS2
NEDD4L
NEDD9
NEIL2
NEK2
NEK6
NELFB
NF1
NF2
NFE2L1
NFE2L2
NFKB2
NFKBIA
NFKBIB
NFYB
NGDN
NIFK
NIP7
NIT2
NKAP
NKIRAS2
NKTR
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPAS2
NPLOC4
NPM1
NPRL3
NR2F2
NR3C1
NR4A1
NRBF2
NRG1
NRIP1
NSD1
NSFL1C
NSL1
NT5C2
NT5E
NTS
NUBP1
NUDC
NUDT15
NUDT2
NUDT21
NUDT8
NUF2
NUFIP2
NUP155
NUP37
NUP62
NUPR1
NUS1
NUSAP1
NXN
OAS1
OCIAD1
ODC1
OPTN
ORC6
OS9
PA2G4
PACS1
PAF1
PAK1IP1
PAK2
PALLD
PANK2
PAPPA
PARD3
PARD6A
PARD6B
PBDC1
PBK
PCGF2
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDE6D
PDE8A
PDGFA
PDHA1
PDHB
PDIA3
PDIA4
PDK4
PDLIM1
PDLIM5
PDLIM7
PDRG1
PDS5A
PDXK
PEF1
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFDN6
PFKFB3
PFKP
PFN1
PGAM5
PGK1
PHAX
PHC2
PHF20
PHF20L1
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLPP2
PIF1
PIH1D1
PIR
PITPNA
PITPNC1
PKM
PKN1
PKN2
PLAU
PLAUR
PLCD3
PLEK2
PLIN2
PLIN3
PLK1
PLK2
PLPP5
PMAIP1
PMEPA1
PMF1
PMPCA
PMPCB
PNISR
PNKP
PNO1
PNPT1
PNRC2
PODXL
POLR2A
POLR2D
POLR2H
POLR3D
POLR3G
POLR3GL
PPAN
PPARG
PPCS
PPFIA1
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPME1
PPP1CB
PPP1R10
PPP1R12A
PPP1R14A
PPP1R15A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP4R2
PPP5C
PRAME
PRC1
PRCC
PRDX1
PRDX4
PRIM1
PRKAG2
PRKCA
PRKCSH
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRSS3
PSAT1
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD7
PSMD9
PSME1
PSME2
PSMG1
PSMG2
PSMG4
PSPH
PTCD3
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRJ
PTTG1
PTTG1IP
PUM3
PURA
PVR
PXN
PYM1
QDPR
RAB11B
RAB11FIP2
RAB1B
RAB21
RAB31
RAB5A
RAB5B
RAB8A
RAB9A
RABEPK
RAC3
RACGAP1
RAD1
RAD21
RAD50
RAD51D
RAD9A
RAE1
RAF1
RALA
RALB
RARG
RB1CC1
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM25
RBM28
RBM42
RBMX2
RCC1
RCC2
RDX
RECQL
REL
RELB
REPIN1
RERE
REST
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS14
RGS19
RGS2
RHOBTB3
RHOD
RIC8A
RICTOR
RIF1
RILP
RIN2
RMI2
RNASEH2A
RNASEH2B
RNF11
RNF135
RNF40
RNF5
RNF8
RNMT
ROCK1
RP9
RPA1
RPA2
RPE
RPF2
RPIA
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA4
RPS7
RRAGA
RRAS2
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSF1
RSRC1
RSRC2
RTCA
RUVBL1
S100A2
S100A4
S100A6
S1PR3
SAMD4B
SAP30BP
SAP30L
SAR1A
SAT1
SAV1
SBDS
SCAMP3
SCNM1
SCO1
SCO2
SCOC
SCP2
SCRIB
SDC4
SDCBP
SDF2
SDHAF2
SDHD
SDSL
SEC13
SEC22C
SEC61A1
SEC63
SECISBP2
SEMA3C
SENP6
SERPINE1
SERTAD3
SET
SF3B1
SF3B3
SF3B4
SFN
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SIAH2
SIRT7
SKAP2
SKIL
SLBP
SLC10A3
SLC16A3
SLC20A1
SLC25A13
SLC25A3
SLC25A4
SLC25A6
SLC26A2
SLC2A3
SLC9A3R1
SLC9A3R2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCE1
SMC1A
SMC2
SMC4
SMC5
SMC6
SMG1
SMKR1
SMOX
SNAP47
SNRNP200
SNRNP27
SNRNP40
SNUPN
SNW1
SNX2
SNX8
SOCS2
SOCS3
SOCS6
SOD2
SON
SOX2
SOX4
SPC25
SPDL1
SPECC1
SPG7
SPHK1
SPP1
SPRED2
SRC
SREBF1
SREK1
SRGAP1
SRGN
SRP68
SRP72
SRPK1
SRPK2
SRRT
SRSF11
SRSF3
SRSF4
SRSF6
SRSF8
SSB
SSBP1
SSH2
SSR1
STAG2
STAMBP
STAMBPL1
STAT1
STAT3
STAU1
STC2
STK24
STK25
STRADB
STRBP
STRN3
STX2
SUGT1
SUPT16H
SUPT5H
SUPT6H
SURF1
SVBP
SYF2
SYNCRIP
SYNE1
SYNM
SYNPO
SYPL1
TACC3
TAF11
TAF12
TAF15
TAF6
TAF7
TALDO1
TANK
TAOK1
TAOK3
TARDBP
TAX1BP1
TBC1D20
TBL1X
TBL1XR1
TBPL1
TBX3
TCEA2
TCERG1
TCHP
TCOF1
TCTEX1D2
TCTN1
TECR
TFDP2
TFF1
TFG
TFRC
TGFB2
TGFBI
TGFBR1
TGFBR2
TGM2
TGOLN2
THAP11
THAP2
THAP4
THAP7
THEM4
THG1L
THOC2
THOC3
THOC6
THRAP3
TIAL1
TIGAR
TIMELESS
TIMM23
TIMM44
TIPIN
TIPRL
TJP1
TKT
TLE4
TLK1
TLK2
TLN1
TMA16
TMED1
TMED4
TMED7
TMEM106B
TMEM107
TMEM189
TMEM199
TMEM237
TMX1
TNFAIP2
TNFRSF10B
TNFRSF12A
TNIP1
TNIP2
TNPO3
TNS3
TNS4
TOB1
TOP2A
TOPBP1
TOR1A
TOR1AIP2
TOX4
TP53
TP53I13
TP53I3
TPR
TPX2
TRA2A
TRADD
TRAF2
TRAF5
TRAPPC6A
TRIB3
TRIM44
TRIM56
TRIM59
TRIP12
TRIP13
TRIP6
TRMT10C
TRMT6
TRMT61A
TRUB2
TSFM
TSG101
TSN
TSNAX
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB4B
TUBB6
TWF1
TWIST2
TWISTNB
TXN
TXNDC12
TXNDC9
TXNRD2
TYMP
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2D4
UBE2E1
UBE2E2
UBE2G1
UBE2G2
UBE2H
UBE2J1
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL4A
UBL7
UBN1
UBQLN1
UBR4
UCHL3
UCHL5
UCK2
UCP2
UHRF1
UMPS
UNC119
UNC93B1
UNG
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USO1
USP1
USP10
USP12
USP14
USP3
USP39
USP7
USP8
UTP18
VAMP2
VASP
VCL
