# Observed cut height: 0.0030123706
# Observed size of largest cluster at observed cut height: 246
# Expected size of largest cluster at observed cut height: 88.4
# Observed maximum ratio statistic: 2.783
# Expected maximum ratio statistic: 1.752
# p-value: 0.0
# Clusters:
AAK1	ACAA2	ACACA	ACADVL	ACAT1	ACOT7	ACYP1	ADH5	ADPGK	AFMID	AGTRAP	AHNAK	AHNAK2	AJUBA	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH3A1	ALDH3B1	ALDOA	AMOTL2	ANXA1	AP1G1	AP1M2	AP1S2	AP2A2	APOBEC3C	APOE	APP	AREG	ATG5	BCAM	BIN1	BIRC3	BIRC6	CACYBP	CAPN1	CBR3	CCL2	CD24	CD44	CDA	CDYL	CES1	CES2	CFLAR	CHAC2	CHML	CHMP1B	CHMP2B	CHURC1	CLU	CMPK1	COMMD1	COMMD10	COMMD2	COMMD5	COMMD9	CPLX2	CREB3	CXCL2	CXCL5	CYB5B	CYB5R3	CYP1B1	CYP2S1	DCTD	DHRS3	DHRS4	ECH1	ECHDC1	ECI2	EHBP1	EHD1	EHD2	ELOVL1	ENO1	EPB41L1	EPHX1	EPN2	EREG	ESD	ETFB	EVL	EZR	FADD	FADS2	FCHO1	FDFT1	FJX1	FNTA	FOXC1	FUNDC1	GGCX	GGPS1	GLRX	GNAI2	GNAQ	GNB5	GNG11	GNG12	GOSR2	GPX2	GSR	HACD2	HACD3	HADHA	HAGH	HDAC3	HECW1	HGS	HLA-A	HMGCS1	HOXB13	HOXB6	HOXB8	HOXB9	HSD17B12	IL18	INSIG1	ITGA3	KEAP1	KIAA0930	KLHDC2	KRAS	KYNU	LAMA5	LAYN	LBR	MAFK	MAP1B	MAP3K14	ME1	MEIS2	MET	MGST1	MGST2	MLPH	MVD	MVK	MYH9	MYO10	MYOF	NCOR2	NDFIP1	NECAP2	NEDD4L	NF2	NFE2L1	NFKBIA	NKIRAS2	NRG1	NUS1	OPN3	PAK4	PALLD	PBX1	PCYOX1	PDHB	PFKFB3	PFKP	PGAM5	PITPNC1	PODXL	POR	PRAME	PRKAG2	PRPS2	PTGES	PTPRJ	PXN	QDPR	RAB10	RAB14	RAB1B	RAB22A	RAB27B	RAB31	RAB5A	RAB9A	RABGGTB	RAF1	RDH10	RDH11	RELB	RGS19	RHOBTB3	RHOV	RIC8A	RIN2	RPE	RPIA	RRAS2	S100A4	S100A6	SCD	SCP2	SEPHS1	SFN	SH3KBP1	SHARPIN	SLC9A3R1	SLC9A3R2	SOD2	SPP1	SPTAN1	SQLE	STX2	STX4	SULT2B1	SYT1	TAPBP	TBC1D20	TBL1X	TECR	TFRC	TKT	TMEM106B	TNFRSF10B	TRAPPC4	TRIM44	TRIOBP	TRIP6	TWF1	TXNDC12	TXNRD2	TYMP	UBE2J2	UCK2	USO1	USP8	VAMP2	VAMP3	VASP	VCL	VKORC1L1	VPS25	VPS28	VPS4A	VTA1	WWC1	YBEY	YKT6	ZYX
ASNS	CSE1L	CTBP1	CTBP2	EIF2A	EIF2AK2	FAAP24	HES1	HES6	IPO5	IPO9	IRF3	KLF3	KPNA3	KPNA4	MSC	PHGDH	PSAT1	RNF135	STRBP	TLE1	XPOT
ASPSCR1	DERL2	EMC3	ERGIC2	HEXIM1	HEXIM2	LACTB	MEPCE	METTL16	NPLOC4	NSFL1C	UBE2G1	UBE2J1	UBN1	UBXN2A	UBXN4	WTAP	YTHDC1	YTHDF2	ZC3H13
AKAP9	ARHGAP35	CKAP5	DIAPH1	GAS2L1	LMNA	MACF1	MAPRE1	PKN1	PKN2	RHOB	RHOD	RND3	ROCK1	ROCK2	SUN1	SYNE1	TACC1	TACC2
AFG3L2	ATPAF1	ECSIT	LONP1	NDUFA13	NDUFA5	NDUFA7	NDUFA9	NDUFAF4	NDUFB5	OCIAD1	PMPCB	SPG7	TIMMDC1	TMEM70	YME1L1
AAAS	CETN2	GORASP2	LMAN1	PREB	RRAGA	SAR1A	SAR1B	SEC13	TFG	TMED1	TMED10	TMED4	TMED7	TPR
CTSB	CTSD	CTSL	FBXO7	PLAU	PLAUR	PROCR	SERPINE2	SNX12	SNX2	SNX6	SNX8	TFPI	THBD	VPS35
DNAJC8	NKTR	PDCD7	PNISR	PRPF38B	RBM23	RBM25	RSRC2	SON	SREK1	SRSF11	SRSF4	SRSF6	TRA2A	ZMAT5
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1
AGPAT1	CDIPT	CDS2	DGKD	DGKE	GNPAT	GPAT3	LPIN1	MFSD10	PIGH	PIGP	PLCD3
ATRX	CSAG1	GLUD1	IDH1	IDH3B	MAGEF1	NCAPD2	NSMCE1	SLF1	SMC2	SMC5
C12orf65	MRPL10	MRPL44	MRPL47	MRPL49	MRPL50	MRPS27	MTERF4	MTIF3
ADAM10	ADAM17	CD81	CLDN1	ESAM	TSPAN14	TSPAN15	TSPAN17
CDC42EP1	CDC42EP3	CDC42EP4	EXOC7	GOPC	RHOQ	TNFAIP2
GPN1	GPN3	GTF3C2	PDRG1	PIH1D1	POLR3D	POLR3G
ALG3	ALG8	BAIAP2L1	DPM1	DPM3	MTFMT
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
C11orf1	C9orf116	CFAP20	TUBA4A	TUBB4B	TUBB6
CNP	CTDSP1	MBP	MPZL1	PMP22	REST
KRTCAP2	RPN2	SSR1	STT3B	TRAM1	TUSC3
AHI1	B9D1	B9D2	TMEM107	TMEM237
ARF4	ARF5	ARFIP2	ARL1	SCOC
ATF7	FOSL1	FOSL2	MAP3K11	PTP4A1
ATP6AP1	ATP6AP2	ATP6V1D	ATP6V1E2	TMEM199
BBC3	DDIT3	ERO1A	PDIA4	TRIB3
BCS1L	SCO1	SCO2	SURF1	TACO1
ADIPOR2	APPL1	NAMPT	NNMT
APTX	COQ5	COQ9	FXN
ATXN2	DDX6	FAM98A	NUFIP2
BASP1	MARCKS	MARCKSL1	PRKCSH
BMP4	FST	FSTL3	INHBB
C19orf12	FA2H	PANK2	PANK3
CHD3	GATAD2A	MBD2	PHF20L1
CNOT1	CNOT4	TNRC6A	TOB1
DDX39A	THOC2	THOC3	THOC6
DNAJA1	GRPEL1	HSPA1A	TIMM44
FGFR1OP2	KRIT1	STK25	TAOK1
GAL	GIP	NLN	NTS
GRAMD1B	NPC1	NPC2	STARD3NL
KCTD1	KCTD15	TFAP2A	TMEM18
PDLIM5	PDLIM7	TNNT1	TPM2
PPP4R2	PPP4R3A	PPP4R3B	TIPRL
PSMC3	PSMD7	PSME1	PSME2
THAP11	THAP2	THAP4	THAP7
ABCC1	ABCC2	ABCG2
ACER3	ASAH1	KDSR
ADK	AK3	PDE8A
ADM	ECE2	EDN1
BCAT1	BCAT2	SDSL
CCT5	CCT7	CCT8
CEBPD	CELF1	MBNL1
COLGALT1	FKBP10	PLOD2
DPYSL2	DPYSL3	FES
HIP1	IFT27	IFT57
HMGA1	HMGA2	LPP
IGFBP4	PAPPA	STC2
IGFBP6	PHLDA2	SLC22A18AS
KRT18	KRT19	KRT8
NGRN	RPUSD1	RPUSD3
NRP1	NRP2	SEMA3C
ODC1	SAT1	SMOX
PPP1CB	PPP1R12A	WDR82
SDHAF1	SDHAF2	SDHAF3
TAF1D	TCOF1	UBTF
TGM2	TOR1A	TOR1AIP2
ABI2	NCKAP1
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH2
IDH3A
IDH3G
IDI1
IFNGR2
IFRD1
IFT43
IFT81
IGBP1
IGF1R
IGF2
IGF2BP1
IGFBP3
IK
IKBIP
IL11
IL13RA1
IL32
ILF2
ILK
ILKAP
IMMT
IMPAD1
IMPDH1
IMPDH2
INA
INF2
ING2
INO80E
IQGAP1
IREB2
IRF1
IRS1
IRS2
ISG15
ISG20
ITFG2
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
IVNS1ABP
JADE1
JAG1
JAK1
JMJD6
JUN
JUNB
JUND
JUP
KCTD9
KDM5A
KHSRP
KIF14
KIF18A
KIF20B
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KIF5B
KLF5
KLF6
KLHDC3
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA2
KPNA6
KRR1
L3HYPDH
LAMC2
LAMP1
LARP4
LARP7
LAS1L
LCMT1
LDHA
LDLR
LEO1
LETM1
LGALS3
LGALS3BP
LGR4
LIMA1
LIMS1
LMNB2
LOXL2
LRFN4
LRP10
LRPPRC
LSM6
LTBP3
LTBP4
LUC7L
LYAR
LYRM1
MAD2L1
MAD2L2
MAGOH
MANF
MAP1LC3A
MAP2K3
MAP2K4
MAP3K2
MAP3K8
MAP4K4
MAP7
MAPK12
MAPK9
MAPKAPK3
MAPKAPK5
MAVS
MAX
MBD3
MCL1
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MCU
MDK
MDM2
MDM4
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
METTL21A
MFGE8
MGLL
MICU1
MID1
MIF
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MLXIP
MMP24
MNAT1
MND1
MOB4
MPDU1
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MRPL1
MRPL16
MRPL2
MRPL35
MRPL37
MRPL45
MRPL46
MRPL48
MRPS17
MRPS18A
MRPS18B
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL1
MSL3
MSMO1
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTHFD1
MTHFD2
MTHFD2L
MTIF2
MTRF1L
MTX1
MTX2
MVB12A
MYC
MYCBP2
MYL6
MYO1B
MZT1
NAE1
NAPA
NASP
NBL1
NBR1
NCBP2
NCBP3
NCL
NCOA3
NDRG1
NDUFA10
NDUFAF6
NDUFS2
NEDD9
NEIL2
NEK2
NEK6
NELFB
NF1
NFE2L2
NFKB2
NFKBIB
NFYB
NGDN
NIFK
NIP7
NIT2
NKAP
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPM1
NPRL3
NQO1
NR0B1
NR3C1
NR4A1
NRBF2
NRCAM
NRIP1
NSD1
NSL1
NT5C2
NT5E
NUAK1
NUDC
NUDT15
NUDT2
NUDT21
NUDT8
NUF2
NUMBL
NUP155
NUP37
NUP62
NUPR1
NUSAP1
NXN
OAS1
OPTN
ORC6
OS9
PA2G4
PABPC4
PACS1
PAF1
PAK1IP1
PAK2
PAPSS2
PARD3
PARD6A
PARD6B
PBDC1
PBK
PCGF2
PCNA
PDCD10
PDCL3
PDGFA
PDHA1
PDIA3
PDK4
PDLIM1
PDS5A
PEA15
PEF1
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFDN6
PFN1
PGK1
PHC2
PHF20
PHF23
PHF3
PHF6
PHIP
PHKG1
PHLDA1
PHLDB2
PHLPP2
PIF1
PIR
PITPNA
PKM
PLEK2
PLIN2
PLIN3
PLK1
PLK2
PLPP5
PMAIP1
PMEPA1
PMF1
PMPCA
PNKP
PNO1
PNPT1
PNRC2
POLR2A
POLR2D
POLR2H
POLR3GL
PPAN
PPARG
PPCS
PPFIA1
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPME1
PPP1R11
PPP1R14A
PPP1R15A
PPP1R16A
PPP1R7
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP5C
PPP6R1
PRC1
PRCC
PRDX1
PRDX4
PRIM1
PRKCA
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF4
PRPF4B
PRPF6
PRPF8
PRPS1
PRPSAP1
PRSS3
PSAP
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD9
PSMG1
PSMG2
PSMG4
PSPH
PTCD3
PTDSS1
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRS
PTTG1
PTTG1IP
PUM3
PURA
PVR
PYCARD
PYM1
QKI
RAB11B
RAB11FIP2
RAB21
RAB35
RAB5B
RAB6A
RAB8A
RABEPK
RAC3
RACGAP1
RAD1
RAD21
RAD50
RAD9A
RAE1
RALA
RALB
RARG
RB1CC1
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM28
RBM42
RBMX2
RBPMS
RCC1
RCC2
RDX
RECQL
REL
REPIN1
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS2
RHPN2
RICTOR
RIF1
RILP
RMI2
RNASEH2A
RNASEH2B
RNF11
RNF40
RNF5
RNF8
RNMT
RP9
RPA1
RPA2
RPF2
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA3
RPS6KA4
RPS7
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSPO3
RSRC1
RTCA
RTCB
RTN3
RUVBL1
S100A2
S1PR3
SAMD4B
SAP30BP
SAP30L
SAV1
SBDS
SCAMP3
SCARB1
SCNM1
SCRIB
SDC1
SDC4
SDCBP
SDF2
SDHD
SEC22C
SEC61A1
SENP6
SERPINE1
SERPINH1
SERTAD3
SET
SETD7
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SHB
SHMT2
SIAH2
SIRT7
SKAP2
SKIL
SLBP
SLC10A3
SLC16A3
SLC20A1
SLC25A13
SLC25A3
SLC25A4
SLC25A6
SLC26A2
SLC2A1
SLC2A3
SLC40A1
SLF2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCE1
SMC1A
SMC4
SMC6
SMG1
SMKR1
SMYD2
SNAP47
SNRNP200
SNRNP27
SNRNP40
SNW1
SOCS2
SOCS3
SOCS6
SOX2
SOX4
SOX9
SPC25
SPDL1
SPECC1
SPHK1
SPRED2
SRC
SREBF1
SRGAP1
SRGN
SRPK1
SRPK2
SRRT
SRSF3
SRSF8
SSB
SSBP1
SSH2
STAG2
STAMBP
STAMBPL1
STAT1
STAT3
STAU1
STK24
STMN1
STRN3
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNM
SYNPO
SYPL1
TACC3
TAF11
TAF12
TAF15
TAF6
TALDO1
TANK
TAOK3
TARDBP
TAX1BP1
TBL1XR1
TBPL1
TBX3
TCEA2
TCERG1
TCHP
TCTN1
TEAD1
TEAD4
TES
TFAP2C
TFDP2
TGFB2
TGFBI
TGFBR1
TGFBR2
TGOLN2
THEM4
THG1L
TIAL1
TIGAR
TIMELESS
TIMM23
TIMP1
TIPIN
TJP1
TLE4
TLK1
TLK2
TLN1
TMA16
TMEM189
TMX1
TNFAIP1
TNFRSF12A
TNPO3
TNRC6B
TNS3
TNS4
TOP1
TOP2A
TOP2B
TOPBP1
TP53
TP53I13
TP53I3
TPM1
TPX2
TRADD
TRAF2
TRAF3IP1
TRAF5
TRAPPC10
TRAPPC6A
TRIM56
TRIM59
TRIP12
TRIP13
TRMT6
TRMT61A
TRUB2
TSFM
TSG101
TSN
TSNAX
TSR1
TSR2
TTC1
TUBA1A
TUBA1B
TUBA1C
TUBB
TUBGCP2
TWIST2
TWISTNB
TXN
TXNDC9
TXNRD1
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2D4
UBE2E1
UBE2E2
UBE2G2
UBE2H
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL4A
UBL7
UBQLN1
UBR4
UCHL3
UCHL5
UCP2
UGP2
UHMK1
UHRF1
UMPS
UNG
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USP1
USP10
USP12
USP14
USP3
USP34
USP39
USP7
USP9X
UTP18
VAMP8
VDAC3
VEGFB
VGF
VIM
VPS26A
VPS53
WAC
WAPL
WASF2
WBP11
WBP2
WBP4
WDR1
WDR18
WDR33
WDR46
WDR5
WDR61
WDR74
WDR76
WDR77
WIPF2
WIPI2
WTIP
WWTR1
XBP1
XIAP
XPC
XRCC5
XRCC6
YAF2
YEATS4
YTHDF1
YWHAE
ZBTB38
ZBTB7A
ZBTB8OS
ZC3H18
ZC3H4
ZC3H8
ZC3HAV1
ZCCHC8
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZNF32
ZNF326
ZNF622
ZNRD1
ZPR1
ZWILCH
ZWINT
