# Observed cut height: 0.0036775016
# Observed size of largest cluster at observed cut height: 233
# Expected size of largest cluster at observed cut height: 48.8
# Observed maximum ratio statistic: 4.775
# Expected maximum ratio statistic: 1.890
# p-value: 0.0
# Clusters:
AAAS	ACACA	ACADVL	ACAT1	ACAT2	ACOT7	ACSL3	ACTN1	ADH5	ADIPOR2	ADPGK	AGR2	AGRN	AGTRAP	AK3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH3A1	ALDH3B1	AREG	ASPSCR1	ATP6AP1	ATP6AP2	ATP6V1C1	ATP6V1D	ATP6V1E2	ATPAF1	AXL	BDNF	BET1	BLVRA	BLVRB	CACNG6	CACNG8	CCL2	CD24	CD44	CD47	CES1	CHML	CHURC1	COL18A1	CSF1	CTNNA1	CTSA	CTSB	CTSD	CTSL	CXCL1	CXCL2	CXCL3	CXCL5	CXCL8	CYB5B	CYB5R3	CYP1B1	CYP2S1	DAG1	DESI1	DHCR24	DHCR7	DHRS4	DHX33	DNAJC4	ECSIT	ELOVL1	ELOVL5	ENAH	EPAS1	EPHX1	EREG	ESD	ETFB	FADS2	FBXO7	FDFT1	FDPS	FGF2	FGFR1	FNTA	FOXC1	G6PC3	GABPB1	GFRA1	GGCX	GGPS1	GLRX	GPC1	GPX2	GPX8	GRIN2B	GSR	GSTO1	HACD1	HACD2	HACD3	HADHB	HAGH	HMGCS1	HMOX1	HSD17B12	IDI1	IFNGR2	IL13RA1	IL18	INSIG1	IRS2	ITFG2	ITGA3	IVNS1ABP	JAK1	KIF5B	KYNU	LACTB	LAMC2	LBR	LYRM1	MAFK	MCL1	ME1	MET	MGLL	MGST1	MIF	MLPH	MSMO1	MVD	MYO10	NAMPT	NDUFA5	NDUFB5	NFE2L2	NNMT	NPRL3	NQO1	NRG1	NSFL1C	NT5E	NUDT15	NUP62	NUS1	ODC1	OPN3	PALLD	PDLIM7	PITPNC1	PLAU	PLAUR	PMF1	PPFIBP1	PROCR	PRPS1	PRPSAP1	PTDSS1	PTPRF	PXN	PYCARD	RAB1B	RAB22A	RAB27B	RAB31	RABGGTB	RDH10	RPE	RPIA	S100A4	SAR1A	SAR1B	SAT1	SCARB1	SCD	SDC1	SEC13	SEC22C	SEPHS1	SERPINE2	SIRT7	SMOX	SNAP47	SNX12	SNX6	SNX8	SOCS2	SQLE	SSBP1	STAT1	STAT3	STX2	SULT2B1	TACC1	TACC2	TAF1D	TBC1D20	TCOF1	TECR	TFG	TFPI	THBD	TIMMDC1	TIMP1	TJP1	TKT	TMED10	TMEM199	TMEM70	TNNT1	TPD52L1	TPD52L2	TPM1	TPM2	TPR	TRAPPC4	TRAPPC6A	TRIM59	TXNRD1	UBQLN1	UBTF	UBXN2A	UBXN4	USO1	VAMP3	VAMP8	VASP	VEGFB	VGF	VKORC1L1	VPS26A	VPS35	YAF2	YKT6
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	UAP1	UGP2
ATN1	ATXN2	ATXN2L	CAPRIN1	FAM98A	FXR1	PABPC4	RTCB	USP10	ZBTB8OS
BROX	CHMP1A	CHMP1B	CHMP2B	CHMP5	HGS	MVB12A	VPS25	VPS28	VPS4A
AP1G1	AP1M2	AP2A2	BIN1	CLINT1	EPN2	FCHO1	ITSN2	NECAP2
ATF7	BATF3	FOSL1	JUNB	JUND	KIAA0930	MAP3K11	NEDD4L	SFN
AGPAT1	AGPAT5	CDS2	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
ANP32E	IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
LUC7L	NKTR	PNISR	RBM25	SREK1	SRSF11	SRSF6
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
C11orf74	HIP1	IFT27	IFT43	IFT57	IFT81
COMMD1	COMMD10	COMMD2	COMMD5	COMMD9	PRAME
CSAG1	MAGEF1	NSMCE1	SLF1	SLF2	SMC5
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
IGBP1	MID1	PPP4R2	PPP4R3A	PPP4R3B	TIPRL
ABI2	ACTR3	ARPC1B	NCKAP1	WASF2
ALG5	ALG8	DPM1	DPM3	MPDU1
B4GALNT1	GALNT1	GALNT2	HEXA	ST3GAL5
B9D1	B9D2	TCTN1	TMEM107	TMEM237
COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
EHBP1	EHD1	RAB10	RAB11FIP2	RAB14
GPN1	GTF3C2	PIH1D1	POLR3D	POLR3G
LRPPRC	SCO1	SCO2	SURF1	TACO1
MAP3K14	MAP3K8	REL	TNIP1	TNIP2
ADAM10	ADAM17	TSPAN14	TSPAN17
AKAP9	CDK5RAP2	PKN1	PKN2
BASP1	MARCKS	MARCKSL1	PRKCSH
BOLA1	CIAO1	CIAPIN1	NUBP1
CCK	GAL	GIP	NLN
COPS6	COPS7A	COPS8	GPS1
DCDC2	TDP2	TOP1	TOP2B
DDOST	KRTCAP2	RPN2	TUSC3
HES6	MSC	TLE1	TLE4
HOXB13	MEIS2	TEAD1	TEAD4
LMNA	LMNB2	SUN1	SYNE1
LRPAP1	RALA	RALB	RGS14
MRPL10	MRPS18B	MRPS27	MTIF3
PSMB9	PSME1	PSME2	PSMG2
UBN1	WTAP	YTHDC1	YTHDF2
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AHNAK	AHNAK2	MYOF
ARF4	ARF5	ARFIP2
C11orf1	C9orf116	CFAP20
C19orf12	PANK2	PANK3
C1D	EXOSC3	ZCCHC8
CA12	CA8	CYP24A1
CDIPT	PIGH	PIGP
CHCHD6	MTX1	MTX2
CNP	MPZL1	PMP22
CTDSP1	CTDSPL	MBP
CUX1	ETV4	EWSR1
DDIT3	ERO1A	TRIB3
EFNA1	EFNA5	EPHA2
FST	FSTL3	INHBB
GADD45A	MBD4	TDG
GNG12	PAK4	RHOV
GRAMD1B	NPC2	STARD3NL
HMGA1	HMGA2	LPP
HOXB6	HOXB8	HOXB9
KRT18	KRT19	KRT8
LETM1	MCU	MICU1
LTBP3	LTBP4	TGFB2
NRCAM	NRP2	SEMA3C
PLIN3	RABEPK	RHOBTB3
SDHAF1	SDHAF2	SDHAF3
THAP11	THAP4	THAP7
TRMT10C	TRMT6	TRMT61A
AASDHPPT	HAT1
ENTPD6
EPB41L1
EPB41L2
ERAL1
ERGIC2
ERLIN2
ERN1
ERRFI1
ERV3-1
ESAM
ESF1
EVL
EXOC7
EXOG
EXOSC1
EXOSC2
EXOSC6
EXOSC7
EXOSC8
EZR
F2RL1
FA2H
FAAP24
FADD
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FARSA
FARSB
FAT1
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXW11
FDXR
FEN1
FERMT1
FGA
FGFR1OP2
FH
FHL1
FHL2
FILIP1
FJX1
FKBP11
FKBP1B
FKBP3
FLAD1
FLII
FLNA
FMNL1
FN1
FNIP1
FOSL2
FOXA2
FSCN1
FTSJ1
FTSJ3
FUBP1
FUNDC1
FXN
G3BP1
G3BP2
GADD45B
GAN
GAPDH
GAR1
GAS2L1
GATAD2A
GATC
GCC2
GCFC2
GDF15
GFER
GIGYF1
GINS1
GINS4
GIT1
GJA1
GJC1
GLIPR1
GLS
GLUD1
GMNN
GMPS
GNAI2
GNAI3
GNAQ
GNB5
GNG11
GNL3
GNPAT
GOLGB1
GOLT1B
GOPC
GORASP2
GOSR1
GOSR2
GOT1
GPN3
GPX3
GREM1
GRK6
GRN
GRPEL1
GRWD1
GTF2F1
GTF2F2
GTF2H1
GTPBP4
GTSE1
GULP1
HADHA
HAUS1
HAUS2
HAUS6
HCCS
HCFC1
HDAC1
HDAC2
HDAC3
HECW1
HERC2
HERPUD1
HEXB
HEXIM1
HIF1A
HIPK2
HJURP
HLA-A
HM13
HMG20B
HMGB2
HMGXB4
HMMR
HMOX2
HNRNPDL
HNRNPH1
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH1
IDH2
IDH3A
IDH3B
IDH3G
IFRD1
IGF1R
IGF2
IGF2BP1
IGFBP3
IK
IKBIP
IL11
IL32
IL6ST
ILF2
ILK
ILKAP
IMMT
IMPAD1
IMPDH1
IMPDH2
INA
INF2
ING2
INO80C
INO80E
IQGAP1
IREB2
IRF1
IRS1
ISG15
ISG20
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
JADE1
JAG1
JMJD6
JUN
JUP
KCTD1
KCTD9
KDM5A
KEAP1
KHSRP
KIF14
KIF18A
KIF20B
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KLF3
KLF5
KLF6
KLHDC2
KLHDC3
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA2
KPNA3
KPNA4
KPNA6
KRAS
KRIT1
KRR1
LAMA5
LAMP1
LARP4
LARP7
LAS1L
LAYN
LCMT1
LDHA
LDLR
LEO1
LGALS3
LGALS3BP
LIMA1
LIMS1
LMAN1
LOXL2
LRFN4
LRP10
LRRFIP2
LSM6
LYAR
MACF1
MAD2L1
MAD2L2
MAGOH
MAP1B
MAP1LC3A
MAP2K3
MAP2K4
MAP3K2
MAP4K4
MAP7
MAPK12
MAPK6
MAPK9
MAPKAPK3
MAPKAPK5
MAPRE1
MAX
MBD2
MBD3
MBNL1
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MDK
MDM2
MDM4
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
METTL16
METTL21A
MFGE8
MGST2
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MMP24
MNAT1
MND1
MOB4
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MRPL1
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL47
MRPL48
MRPL49
MRPL50
MRPS17
MRPS18A
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL3
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTERF4
MTFMT
MTHFD1
MTHFD2
MTHFD2L
MTIF2
MTRF1L
MVK
MXD4
MYC
MYCBP2
MYH9
MYL6
MYO1B
MZT1
NAE1
NAPA
NASP
NBL1
NBR1
NCAPD2
NCBP2
NCBP3
NCL
NCLN
NCOA3
NCOR2
NDFIP1
NDRG1
NDUFA10
NDUFA13
NDUFA7
NDUFA9
NDUFAF4
NDUFAF6
NDUFS2
NEDD9
NEK2
NEK6
NELFB
NEMF
NF1
NF2
NFE2L1
NFKB2
NFKBIA
NFKBIB
NGDN
NGRN
NIFK
NIP7
NIT2
NKAP
NKIRAS2
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPC1
NPLOC4
NPM1
NR2F2
NR3C1
NR4A1
NRBF2
NRIP1
NRP1
NSD1
NSL1
NT5C2
NTS
NUDC
NUDT2
NUDT21
NUDT8
NUF2
NUFIP2
NUP155
NUP37
NUPR1
NUSAP1
NXN
OAS1
OCIAD1
OPTN
ORC6
OS9
PA2G4
PACS1
PAF1
PAK1IP1
PAK2
PAPSS2
PARD3
PBDC1
PBK
PBX1
PCGF2
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDE8A
PDGFA
PDHB
PDIA3
PDIA4
PDLIM1
PDLIM5
PDRG1
PDS5A
PDXK
PEA15
PEF1
PELO
PELP1
PER2
PES1
PEX10
PFAS
PFDN6
PFKFB3
PFKP
PFN1
PGAM5
PGK1
PHC2
PHF20
PHF20L1
PHF23
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLDB2
PHLPP2
PIF1
PIR
PITPNA
PKM
PLCD3
PLEK2
PLIN2
PLK1
PLK2
PMAIP1
PMEPA1
PMPCA
PMPCB
PNO1
PNPT1
PNRC2
PODXL
POLR2A
POLR2D
POLR2H
POLR3GL
POR
PPAN
PPARG
PPCS
PPFIA1
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPME1
PPP1CB
PPP1R10
PPP1R12A
PPP1R14A
PPP1R15A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP5C
PRC1
PRCC
PRDX1
PRDX4
PREB
PRIM1
PRKAG2
PRKCA
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRPS2
PRSS3
PSAP
PSAT1
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD7
PSMD9
PSMG1
PSMG4
PSPH
PTCD3
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRJ
PTPRS
PTTG1
PTTG1IP
PUM3
PURA
PVR
PYM1
QDPR
RAB11B
RAB21
RAB35
RAB5A
RAB6A
RAB8A
RAB9A
RAC3
RACGAP1
RAD1
RAD21
RAD50
RAD9A
RAE1
RAF1
RARG
RB1CC1
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM28
RBM42
RBMX2
RCC1
RCC2
RDH11
RDX
RECQL
RELB
RERE
REST
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS19
RGS2
RHOB
RHPN2
RIC8A
RICTOR
RIF1
RILP
RMI2
RNASEH2A
RNASEH2B
RND3
RNF11
RNF135
RNF40
RNF8
RNMT
RP9
RPA1
RPA2
RPF2
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA3
RPS6KA4
RPS7
RPUSD1
RPUSD3
RRAGA
RRAS2
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSF1
RSRC1
RSRC2
RTCA
RUVBL1
S100A2
S100A6
S1PR3
SAMD4B
SAP30BP
SAP30L
SAV1
SBDS
SCAMP3
SCNM1
SCOC
SCP2
SCRIB
SDC4
SDCBP
SDF2
SDHD
SDSL
SEC61A1
SECISBP2
SENP6
SERPINE1
SERTAD3
SET
SETD7
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SIAH2
SKAP2
SKIL
SLBP
SLC10A3
SLC16A3
SLC20A1
SLC25A13
SLC25A3
SLC25A6
SLC26A2
SLC2A1
SLC2A3
SLC40A1
SLC9A3R1
SLC9A3R2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
