# Observed cut height: 0.012168631
# Observed size of largest cluster at observed cut height: 56
# Expected size of largest cluster at observed cut height: 9.3
# Observed maximum ratio statistic: 6.022
# Expected maximum ratio statistic: 1.721
# p-value: 0.0
# Clusters:
ACAT1	ACAT2	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	DHCR7	ELOVL5	EPHX1	ERLIN2	FADS2	FDFT1	FDPS	FOXC1	G6PC3	GGCX	GPX2	HACD1	HACD2	HACD3	HMGCS1	HMOX1	HOXB6	HOXB8	HSD17B12	IDI1	INSIG1	KYNU	LBR	LMNB2	MAFK	MEIS2	MGLL	MSMO1	MVD	NFE2L1	PBX1	POR	PTDSS1	QDPR	SCD	SEPHS1	SQLE	SULT2B1	SUN1	SYNE1	TECR	TKT	TXNRD1	TXNRD2	VKORC1L1
CTSB	CTSL	PLAU	PLAUR	SERPINE2	SNX12	VPS26A	VPS35
ADH5	ALDH1A1	ALDH3A1	ALDH3B1	CD24	DHRS4	RDH10
B4GALNT1	GALNT1	GALNT2	HEXA	HEXB	ST3GAL5
B4GALT2	GALE	PGM2L1	PYGB	ST6GAL2	UGP2
CCL2	CXCL3	CXCL5	DHX33	IL18	PYCARD
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
AGR2	AGRN	COL18A1	DAG1	GPC1
CHML	MLPH	OPN3	RAB1B	RAB27B
CKAP4	DKK1	FZD2	SFRP1	WNT7B
ADIPOR2	NAMPT	NNMT	NT5E
ASPSCR1	LACTB	UBXN2A	UBXN4
C19orf12	FA2H	PANK2	PANK3
CHMP1B	CHMP5	VPS28	VPS4A
DCDC2	TDP2	TOP1	TOP2B
EHBP1	EHD2	RAB10	RAB14
MCL1	NUAK1	PMAIP1	USP9X
ABCC1	ABCC2	ABCG2
ACADVL	ETFB	LYRM1
ALG3	ALG5	DPM3
AREG	EREG	NRG1
ARF4	ARF5	ARFIP2
ATP6AP1	ATP6V1C1	ATP6V1E2
BASP1	MARCKS	MARCKSL1
BDNF	GFRA1	VGF
COLGALT1	FKBP10	PLOD2
COMMD2	COMMD5	COMMD9
FOSL1	JUNB	JUND
FST	FSTL3	INHBB
GAL	NLN	NTS
GNG12	PAK4	RHOV
HMGA1	HMGA2	LPP
IGFBP4	PAPPA	STC2
IGFBP7	MMP24	TIMP2
KRT18	KRT19	KRT8
KRTCAP2	RPN2	TUSC3
LETM1	MCU	MICU1
ODC1	SAT1	SMOX
THAP11	THAP4	THAP7
TMED1	TMED10	TMED4
TNNT1	TPM1	TPM2
ACBD3	GOLGA3
ARNTL2
ARPC1B
ARPC3
ASAH1
ASAP2
ASCC3
ASF1A
ASF1B
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATF5
ATF7
ATG12
ATG5
ATIC
ATL3
ATMIN
ATN1
ATP6AP2
ATP6V0D1
ATP6V1D
ATP6V1E1
ATRX
ATXN2
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
B4GALT1
B4GALT3
B4GALT4
BABAM1
BAG2
BAG3
BAIAP2L1
BAMBI
BANP
BATF3
BAX
BAZ1A
BAZ2A
BBC3
BBIP1
BCAM
BCAR1
BCCIP
BCL2L1
BCL3
BCLAF1
BCS1L
BDP1
BECN1
BET1
BHLHE40
BIN1
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOLA1
BOP1
BRCA1
BRD2
BRD3
BRIX1
BROX
BTBD6
BUB3
C11orf1
C11orf74
C12orf65
C16orf74
C1D
C1orf131
C6orf62
C9orf116
C9orf78
CA8
CACYBP
CALM2
CALR
CALU
CAMLG
CAND1
CANT1
CAPN1
CAPRIN1
CAPZA1
CASC3
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC47
CCDC88A
CCDC92
CCK
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD2BP2
CD3EAP
CD44
CD47
CD81
CD9
CDA
CDC123
CDC20
CDC27
CDC34
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDIPT
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
CDS2
CDT1
CDYL
CEBPB
CEBPD
CEBPZ
CELF1
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP290
CEP55
CERS2
CES1
CES2
CETN2
CFAP20
CFDP1
CFLAR
CHAC2
CHAF1A
CHAMP1
CHCHD6
CHD1
CHD3
CHD4
CHEK1
CHMP1A
CHMP2B
CHORDC1
CHTF8
CHURC1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKB
CKS2
CLCF1
CLDN1
CLIP1
CLSPN
CLU
CMPK1
CNOT1
CNOT2
CNOT4
CNP
CNPY3
CNTN1
COIL
COL4A2
COL5A2
COL7A1
COMMD1
COMMD10
COMMD3
COPS5
COPS6
COPS7A
COPS7B
COPS8
COPZ2
COQ5
COQ9
COX16
CPLX2
CPS1
CPSF6
CREB1
CREB3
CRELD2
CRTC3
CRYZ
CS
CSAG1
CSE1L
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTBP1
CTBP2
CTCF
CTDSP1
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSA
CTSC
CTSD
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL1
CXCL2
CXCL8
CYB5R3
CYBA
CYP2S1
DAAM1
DAB2
DAP
DAP3
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCTD
DCTN1
DCTN2
DCTN6
DDB1
DDB2
DDIT3
DDIT4
DDOST
DDX10
DDX17
DDX18
DDX23
DDX24
DDX27
DDX39A
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL1
DERL2
DESI1
DGKD
DGKE
DHPS
DHRS3
DHX15
DHX9
DIAPH1
DIMT1
DIO2
DLC1
DLD
DLGAP5
DMWD
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC8
DNM1L
DNTTIP2
DOCK5
DPCD
DPF2
DPH2
DPM1
DR1
DRAM1
DRG1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1I2
DYNC1LI1
DYNC1LI2
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
E2F6
EAPP
ECE2
ECH1
ECHDC1
ECI2
ECSIT
ECT2
EDN1
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFNA5
EFTUD2
EGFR
EGLN1
EHD1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2AK4
EIF2B1
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAC2
ELAVL1
ELOVL1
EMC3
ENAH
ENDOG
ENO1
ENTPD6
EPAS1
EPB41L1
EPB41L2
EPC1
EPN2
EPS8
ERAL1
ERGIC2
ERN1
ERO1A
ERRFI1
ERV3-1
ESAM
ESD
ESF1
ETV4
EVL
EWSR1
EXOC7
EXOG
EXOSC1
EXOSC2
EXOSC3
EXOSC6
EXOSC7
EXOSC8
EZR
F2RL1
FAAP24
FADD
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FAM98A
FANCD2
FANCI
FARSA
FARSB
FAT1
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXO7
FBXW11
FCHO1
FDXR
FEN1
FERMT1
FGA
FGF2
FGFR1
FGFR1OP2
FH
FHL1
FHL2
FILIP1
FJX1
FKBP11
FKBP1B
FKBP3
FLAD1
FLNA
FMNL1
FN1
FNIP1
FNTA
FOSL2
FOXA2
FRA10AC1
FRMD6
FTSJ1
FTSJ3
FUBP1
FUNDC1
FXN
FXR1
G3BP1
GABPB1
GADD45A
GADD45B
GALK1
GAMT
GAN
GAPDH
GAR1
GAS2L1
GATAD2A
GATC
GCC2
GCFC2
GDF15
GFER
GGPS1
GIGYF1
GINS1
GINS4
GIP
GIT1
GJA1
GJC1
GLIPR1
GLRX
GLS
GLUD1
GMNN
GMPS
GNAI2
GNAI3
GNAQ
GNB5
GNG11
GNL3
GNPAT
GOLGB1
GOLT1B
GOPC
GORASP2
GOSR1
GOSR2
GOT1
GPAT3
GPAT4
GPN1
GPN3
GPS1
GPX3
GPX8
GREM1
GRIN2B
GRK6
GRN
GRPEL1
GRWD1
GSR
GSTO1
GTF2F1
GTF2F2
GTF2H1
GTF3C2
GTPBP4
GTSE1
GULP1
HADHA
HADHB
HAGH
HAT1
HAUS1
HAUS2
HAUS6
HCCS
HCFC1
HDAC1
HDAC2
HDAC3
HECW1
HERC2
HERPUD1
HES1
HEXIM1
HEXIM2
HGS
HIF1A
HIP1
HIPK2
HJURP
HLA-A
HM13
HMG20B
HMGB2
HMGXB4
HMMR
HMOX2
HNRNPDL
HNRNPH1
HOXB13
HOXB9
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH1
IDH2
IDH3A
IDH3B
IDH3G
IFNGR2
IFRD1
IFT27
IFT43
IFT57
IFT81
IGBP1
IGF1R
IGF2
IGF2BP1
IGFBP3
IGFBP6
IK
IKBIP
IL11
IL32
IL6ST
ILF2
ILK
ILKAP
IMPAD1
IMPDH1
IMPDH2
INA
INF2
ING2
INO80C
INO80E
IPO5
IPO9
IQGAP1
IREB2
IRF1
IRF3
IRS1
IRS2
ISG15
ISG20
ITFG2
ITGA2
ITGA3
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
JADE1
JAG1
JMJD6
JUN
JUP
KCTD1
KCTD9
KDM5A
KDSR
KEAP1
KHSRP
KIAA0930
KIF14
KIF18A
KIF20B
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KIF5B
KLF3
KLF5
KLF6
KLHDC2
KLHDC3
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA3
KPNA6
KRAS
KRIT1
KRR1
L3HYPDH
LAMA5
LAMC2
LAMP1
LARP4
LARP7
LAS1L
LAYN
LCMT1
LDHA
LDLR
LEO1
LGALS3
LGALS3BP
LIMA1
LIMS1
LMAN1
LMNA
LONP1
LOXL2
LPIN1
LRFN4
LRP10
LRPAP1
LRPPRC
LSM6
LTBP3
LTBP4
LUC7L
LYAR
MACF1
MAD2L1
MAD2L2
MAGEF1
MAGOH
MANF
MAP1B
MAP1LC3A
MAP2K3
MAP2K4
MAP3K11
MAP3K14
MAP3K2
MAP3K8
MAP4K4
MAP7
MAPK12
MAPK6
MAPK9
MAPKAPK3
MAPKAPK5
MAPRE1
MAVS
MAX
MBD2
MBD3
MBNL1
MBP
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MDK
MDM2
MDM4
ME1
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
MEPCE
MET
METTL16
METTL21A
MFGE8
MFSD10
MGST1
MGST2
MID1
MIF
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MNAT1
MND1
MOB4
MPDU1
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL47
MRPL48
MRPL49
MRPL50
MRPS17
MRPS18A
MRPS18B
MRPS27
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL1
MSL3
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTERF4
MTFMT
MTHFD1
MTHFD2
MTHFD2L
MTIF2
MTIF3
MTRF1L
MTX2
MUC5AC
MVB12A
MVK
MXD4
MYC
MYCBP2
MYH9
MYL6
MYO10
MYO1B
MYOF
MZT1
NAE1
NAPA
NASP
NBL1
NBR1
NCAPD2
NCBP2
NCBP3
NCKAP1
NCL
NCLN
NCOA3
NCOR2
NDFIP1
NDRG1
NDUFA10
NDUFA13
NDUFA5
NDUFA7
NDUFA9
NDUFAF4
NDUFAF6
NDUFB5
NDUFS2
NECAP2
NEDD4L
NEDD9
NEIL2
NEK2
NEK6
NELFB
NF1
NF2
NFE2L2
NFKB2
NFKBIA
NFKBIB
NGDN
NGRN
NIFK
NIP7
NIT2
NKAP
NKIRAS2
NKTR
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPAS2
NPC1
NPLOC4
NPM1
NPRL3
NQO1
NR0B1
NR2F2
NR3C1
NR4A1
NRBF2
NRIP1
NRP1
NSD1
NSFL1C
NSL1
NT5C2
NUBP1
NUDC
NUDT15
NUDT2
NUDT21
NUDT8
NUF2
NUFIP2
NUP155
NUP37
NUP62
NUPR1
NUS1
NUSAP1
NXN
OAS1
OCIAD1
OPTN
ORC6
OS9
PA2G4
PABPC4
PACS1
PAF1
PAK1IP1
PAK2
PALLD
PAPSS2
PARD3
PARD6A
PARD6B
PBDC1
PBK
PCGF2
PCM1
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDE6D
PDE8A
PDGFA
PDHA1
PDHB
PDIA3
PDIA4
PDK4
PDLIM1
PDLIM5
PDLIM7
PDRG1
PDS5A
PDXK
PEA15
PEF1
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFDN6
PFKFB3
PFKP
PFN1
PGAM5
PGK1
PHAX
PHC2
PHF20
PHF20L1
PHF23
PHF3
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLDB2
PHLPP2
PIF1
PIGH
PIGP
PIH1D1
PIR
PITPNA
PITPNC1
PKM
PKN1
PKN2
PLCD3
PLEK2
PLIN2
PLIN3
PLK1
PLK2
PLPP5
PMEPA1
PMF1
PMPCA
PMPCB
PNISR
PNKP
PNO1
PNPT1
PNRC2
PODXL
POLR2A
POLR2D
POLR2H
POLR3D
POLR3G
POLR3GL
PPAN
PPARG
PPCS
PPFIA1
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPME1
PPP1CB
PPP1R10
PPP1R12A
PPP1R14A
PPP1R15A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP4R2
PPP5C
PPP6R1
PRAME
PRC1
PRCC
PRDX1
PRDX4
PRIM1
PRKAG2
PRKCA
PRKCSH
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRPS1
PRPS2
PRSS3
PSAP
PSAT1
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD7
PSMD9
PSME1
PSME2
PSMG1
PSMG2
PSMG4
PSPH
PTCD3
PTEN
PTGS2
PTK2
PTMA
PTP4A1
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRJ
PTPRS
PTTG1
PTTG1IP
PUM3
PURA
PVR
PXN
PYGL
PYM1
RAB11B
RAB11FIP2
RAB21
RAB22A
RAB31
RAB5A
RAB6A
RAB8A
RAB9A
RABEPK
RABGGTB
RAC3
RACGAP1
RAD1
RAD21
RAD50
RAD51D
RAD9A
RAE1
RAF1
RALA
RALB
RARG
RB1CC1
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM25
RBM28
RBM42
RBMX2
RCC1
RCC2
RDH11
RDX
RECQL
REL
RELB
RERE
REST
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS14
RGS19
RGS2
RHOB
RHOBTB3
RHOD
RHPN2
RIC8A
RICTOR
RIF1
RILP
RMI2
RNASEH2A
RNASEH2B
RND3
RNF11
RNF135
RNF40
RNF5
RNF8
RNMT
ROCK1
ROCK2
RP9
RPA1
RPA2
RPE
RPF2
RPIA
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA3
RPS6KA4
RPS7
RPUSD1
RPUSD3
RRAGA
RRAS2
RRBP1
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSF1
RSRC1
RSRC2
RTCA
RTCB
RTN3
RUVBL1
S100A2
S100A4
S1PR3
SAMD4B
SAP30BP
SAP30L
SAR1A
SAV1
SBDS
SCAMP3
SCNM1
SCO1
SCO2
SCOC
SCP2
SCRIB
SDC1
SDC4
SDCBP
SDF2
SDHAF2
SDHD
SDSL
SEC13
SEC22C
SEC61A1
SEC63
SECISBP2
SEMA3C
SENP6
SERPINE1
SERPINH1
SERTAD3
SET
SETD7
SF3B1
SF3B3
SF3B4
SFN
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SIAH2
SIRT7
SKAP2
SKIL
SLBP
SLC10A3
SLC16A3
SLC20A1
SLC25A13
SLC25A3
SLC25A4
SLC25A6
SLC26A2
SLC2A1
SLC2A3
SLC40A1
SLC9A3R1
SLC9A3R2
SLF2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCE1
SMC1A
SMC2
SMC4
SMC5
SMC6
SMG1
SMKR1
SMYD2
SNAP47
SNRNP200
SNRNP27
SNRNP40
SNUPN
SNW1
SNX2
SNX6
SNX8
SOCS2
SOCS3
SOCS6
SOD2
SON
SOX2
SOX4
SOX9
SPC25
SPDL1
SPECC1
SPG7
SPHK1
SPP1
SPRED2
SRC
SREBF1
SREK1
SRGAP1
SRGN
SRP68
SRP72
SRPK1
SRPK2
SRRT
SRSF11
SRSF3
SRSF4
SRSF6
SRSF8
SSB
SSBP1
SSH2
SSR1
STAG2
STAMBP
STAMBPL1
STARD3NL
STAT1
STAT3
STAU1
STK24
STK25
STRADB
STRBP
STRN3
STT3B
STX2
STX4
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SURF1
SVBP
SYF2
SYNCRIP
SYNJ2BP
SYNM
SYNPO
SYPL1
SYT1
TACC3
TACO1
TAF11
TAF12
TAF15
TAF6
TAF7
TALDO1
TANK
TAOK1
TAOK3
TAPBP
TARDBP
TAX1BP1
TBC1D20
TBL1X
TBL1XR1
TBPL1
TBX3
TCEA2
TCERG1
TCHP
TCOF1
TCTEX1D2
TCTN1
TEAD1
TEAD4
TERF1
TES
TFAP2A
TFAP2C
TFDP2
TFF1
TFG
TFPI
TFRC
TGFB2
TGFBI
TGFBR1
TGFBR2
TGM2
TGOLN2
THAP2
THBD
THEM4
THG1L
THOC2
THOC3
THOC6
THRAP3
TIAL1
TIGAR
TIMELESS
TIMM23
TIMM44
TIMMDC1
TIMP1
TIPIN
TIPRL
TJP1
TLE1
TLE4
TLK1
TLK2
TLN1
TMA16
TMED7
TMEM106B
TMEM107
TMEM109
TMEM189
TMEM199
TMEM237
TMX1
TNFAIP1
TNFAIP2
TNFRSF10B
TNFRSF12A
TNIP1
TNIP2
TNPO3
TNRC6A
TNRC6B
TNS3
TNS4
TOB1
TOP2A
TOPBP1
TOR1A
TOR1AIP2
TOX4
TP53
TP53I13
TP53I3
TPR
TPX2
TRA2A
TRADD
TRAF2
TRAF3IP1
TRAF5
TRAM1
TRAPPC10
TRAPPC4
TRAPPC6A
TRIB3
TRIM44
TRIM56
TRIM59
TRIP12
TRIP13
TRIP6
TRMT10C
TRMT6
TRMT61A
TRUB2
TSFM
TSG101
TSN
TSNAX
TSPAN14
TSPAN15
TSPAN17
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB4B
TUBB6
TUBGCP2
TWF1
TWIST2
TWISTNB
TXN
TXNDC12
TXNDC9
TYMP
U2AF1L4
U2AF2
UAP1
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2D4
UBE2E1
UBE2E2
UBE2G1
UBE2G2
UBE2H
UBE2J1
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL4A
UBL7
UBN1
UBQLN1
UBR4
UCHL3
UCHL5
UCK2
UCP2
UHRF1
UMPS
UNC119
UNC93B1
UNG
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USO1
USP1
USP12
USP14
USP3
USP39
USP7
USP8
UTP18
VAMP2
VAMP3
VAMP8
VASP
VCL
VDAC3
VIM
VPS25
VPS53
VTA1
WAC
WAPL
WASF2
WBP11
WBP2
WBP4
WDR1
WDR18
WDR33
WDR4
WDR46
WDR5
WDR61
WDR73
WDR74
WDR76
WDR77
WDR82
WIPF2
WIPI2
WTAP
WWC1
WWTR1
XBP1
XIAP
XPC
XPOT
XRCC2
XRCC5
XRCC6
YAF2
YBEY
YEATS4
YKT6
YME1L1
YTHDC1
YTHDF1
YTHDF2
YWHAE
ZBTB38
ZBTB7A
ZBTB8OS
ZC3H13
ZC3H18
ZC3H4
ZC3H8
ZC3HAV1
ZCCHC8
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF32
ZNF326
ZNF622
ZNRD1
ZPR1
ZWILCH
ZWINT
ZYX
