# Observed cut height: 0.0030089112
# Observed size of largest cluster at observed cut height: 331
# Expected size of largest cluster at observed cut height: 153.4
# Observed maximum ratio statistic: 2.158
# Expected maximum ratio statistic: 1.731
# p-value: 0.1
# Clusters:
ACAA2	ACACA	ACADVL	ACAT1	ACAT2	ACER3	ACSL3	ACTN1	ADIPOR2	AFG3L2	AFMID	AGPAT1	AGPAT5	AGTRAP	AHNAK	AHNAK2	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDOA	ANXA1	APOBEC3C	APPL1	ARCN1	AREG	ARL8B	ASAH1	ASNS	ASRGL1	ATG12	ATG5	ATPAF1	BBC3	BCL2L1	BDP1	BET1	BIRC2	BIRC6	C12orf65	CACYBP	CAMLG	CAPN1	CD3EAP	CD47	CDA	CDIPT	CDS2	CDYL	CES1	CES2	CETN2	CFLAR	CHAC2	CHMP2B	CHURC1	CLDN1	COPZ2	CPLX2	CTBP1	CTBP2	CTSB	CTSL	CYP1B1	DAP3	DCTD	DDIT3	DDX39A	DGKE	DHCR24	DNM1L	ECH1	ECHDC1	ECSIT	EEF1A2	EHBP1	EHD1	EHD2	ENAH	EPAS1	EPB41L1	EPHX1	EREG	ERLIN2	ERO1A	ESAM	ESD	ETFB	EZR	FADD	FAT1	FBLIM1	FDFT1	FDPS	FERMT1	FJX1	FLAD1	FLNA	FNTA	FOXC1	FSCN1	FUNDC1	G6PC3	GABPB1	GAN	GCC2	GGCX	GLRX	GORASP2	GOSR2	GPC1	GPN1	GPN3	GPX2	GPX8	GRN	GSR	GTF3C2	HADHB	HAGH	HGS	HOXB6	HOXB8	HOXB9	HPRT1	IDI1	ILK	IMPAD1	INSIG1	IPO5	IPO9	IREB2	KANK1	KEAP1	KIF5B	KLF3	KPNA2	KPNA3	KPNA4	LBR	LMAN1	LMNA	LMNB2	LONP1	LPIN1	LRFN4	LYRM1	MAFK	MAP1B	MAP1LC3A	MCL1	ME1	MGLL	MGST1	MRPL37	MRPL44	MRPL47	MRPL50	MRPS17	MRPS18B	MRPS27	MSMO1	MTERF4	MTIF2	MVD	MVK	MYH9	MYOF	NAMPT	NAPA	NDUFA10	NDUFA13	NDUFA5	NDUFA9	NDUFAF4	NDUFB5	NEIL2	NFE2L1	NNMT	NRG1	NT5C2	NUP155	NUP62	NUS1	OPTN	PALLD	PAPSS2	PBX1	PDLIM5	PDLIM7	PEA15	PFDN6	PFKFB3	PFKP	PGAM5	PHGDH	PHLDB2	PIGH	PIGP	PITPNC1	PLAU	PLAUR	PLCD3	PLIN3	PLPP5	PNKP	PODXL	POLR3D	POLR3G	POLR3GL	PPFIA1	PPFIBP1	PPP1R15A	PREB	PRKAG2	PROCR	PRPS1	PRPS2	PRPSAP1	PSAP	PSAT1	PSPH	PTPRF	PTPRS	PXN	QDPR	RAB10	RAB11FIP2	RAB1B	RAB35	RAB9A	RABEPK	RABGGTB	RB1CC1	RECQL	RHOBTB3	RPE	RPIA	S100A4	S100A6	SAR1A	SAR1B	SCARB1	SCP2	SDC1	SDC4	SEC13	SEC22C	SEPHS1	SERPINE2	SIRT7	SLC10A3	SLC25A3	SLC26A2	SLC3A2	SLC7A5	SNAP47	SNUPN	SNX12	SNX2	SNX6	SOD2	SPG7	SPHK1	SPTAN1	SSBP1	STX2	SULT2B1	SUN1	SYNE1	SYNM	SYT1	TAF1D	TALDO1	TBC1D20	TCOF1	TES	TFG	TFPI	TFRC	THBD	THOC2	THOC3	THOC6	TIGAR	TKT	TLN1	TMED1	TMED10	TMED4	TMED7	TMEM106B	TMEM70	TNFAIP1	TNFRSF10B	TNNT1	TPD52L1	TPD52L2	TPM1	TPM2	TPR	TRAPPC10	TRAPPC4	TRIB3	TRIM44	TRIM59	TRIOBP	TRIP6	TXNDC12	TXNRD2	TYMP	UBL4A	UBTF	UQCRC2	USP8	VAMP2	VAMP3	VASP	VCL	VPS25	VPS26A	VPS28	VPS4A	VTA1	WIPI2	YBEY	YKT6	YME1L1	ZC3H18	ZNRD1	ZYX
ABI2	ABL2	ARPC1B	ARPC3	CYBA	DOCK5	EXOC7	GNAI2	GNAI3	GNB5	GNG12	IGFBP7	LRPAP1	MMP24	MYCBP2	NCKAP1	PAK2	PAK4	PARD6A	RAC3	RALA	RALB	RGS14	RGS19	RHOV	RIC8A	S1PR3	TIMP2	TNFAIP2	WASF2
ERGIC2	HMGA1	HMGA2	IGF2BP1	LPP	LRPPRC	LTBP3	LTBP4	MEPCE	METTL16	SCO1	SMAD2	SURF1	TACO1	TGFB2	UBN1	WTAP	YTHDC1	YTHDF1	YTHDF2
ACTR1A	ACTR1B	C11orf1	C9orf116	CAPZA1	CFAP20	DCTN2	DYNC1H1	DYNC1I2	DYNC1LI2	DYNLT3	RILP	TCTEX1D2	TUBA4A	TUBB4B	TUBB6
AKAP9	CDK5RAP2	DIAPH1	PKN1	PKN2	PPP1CB	PPP1R10	PPP1R12A	RHOB	RHOD	RHPN2	RND3	ROCK1	ROCK2
ADAM9	ASPSCR1	CHAMP1	DERL1	LACTB	MAD2L2	NPLOC4	NSFL1C	PRCC	RNF5	UBE2J1	UBXN2A	UBXN4
ACIN1	HTATSF1	LUC7L	NKTR	PNISR	RBM25	SREK1	SRPK1	SRPK2	SRSF11	SRSF6	SRSF8
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
ARID4B	KDM5A	NCOR2	NR4A1	PHF23	SAP30BP	SAP30L	TBL1X	TBL1XR1
COMMD1	COMMD10	COMMD2	COMMD3	COMMD5	COMMD9	CREB3	KLHDC2
KIAA0930	MDM4	NDFIP1	NEDD4L	SFN	TXNDC9	WBP2
ACOT7	HACD1	HACD2	HACD3	TECR	THEM4
ALDH1A1	CD24	DHRS3	DHRS4	RDH10	RDH11
ANXA5	CCK	GAL	GIP	NLN	NTS
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
BASP1	MARCKS	MARCKSL1	PRKCSH	SEC63	STRADB
BATF3	FOSL1	FOSL2	JUNB	JUND	MAP3K11
COL4A2	COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
KRTCAP2	RPN2	SSR1	STT3B	TRAM1	TUSC3
ATN1	ATXN2	FAM98A	NUFIP2	PABPC4
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	ATP6V1E2
C19orf12	FA2H	PANK2	PANK3	PPCS
IGBP1	MID1	PPP4R2	PPP4R3A	TIPRL
NFKBIA	NFKBIB	NKIRAS2	RELB	UBE2D4
ALG3	ALG5	DPM1	DPM3
ARF4	ARF5	ARFIP2	SCOC
B4GALNT1	GALNT1	GALNT2	ST3GAL5
B9D1	B9D2	CEP290	TMEM107
C11orf74	IFT27	IFT81	TRAF3IP1
C1D	EXOSC1	EXOSC3	ZCCHC8
CHTF8	PDS5A	SLF2	SMC5
CNP	CTDSP1	MBP	REST
CNTN1	NRCAM	NRP2	SEMA3C
CXCL1	CXCL2	CXCL3	CXCL5
FRMD6	SAV1	WTIP	WWC1
GLUD1	IDH1	IDH3A	NIT2
GRAMD1B	NPC1	NPC2	STARD3NL
HES6	MSC	TLE1	TLE4
MLPH	RAB22A	RAB27B	RAB31
NEK6	RPUSD1	RPUSD3	TRUB2
ODC1	PMF1	SAT1	SMOX
PSMB4	PSMD7	PSME1	PSME2
AASDHPPT	HAT1	WDR73
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AGFG1	EPN2	FCHO1
AP1M2	AP1S2	CLINT1
APOO	CHCHD6	MTX1
APTX	COQ5	COQ9
ARL6IP1	ATL3	RTN3
ASXL1	CBX6	KIF3B
BCAT1	BCAT2	SDSL
BLVRA	BLVRB	HMOX2
BOLA1	CIAPIN1	NUBP1
CA12	CA8	CYP24A1
CEBPD	CELF1	MBNL1
CHD3	GATAD2A	MTA1
CLCF1	IL11	IL6ST
COL7A1	ITGA3	LAMC2
COPS7A	COPS7B	GPS1
DPYSL2	DPYSL3	FES
EFNA1	EFNA5	EPHA2
EIF2AK4	EIF2B1	EIF2B4
EIF4G2	MKNK1	MKNK2
ELAC2	ENDOG	EXOG
FST	FSTL3	INHBB
HOXB13	TEAD1	TEAD4
KRIT1	PDCD10	STRN3
KRT18	KRT19	KRT8
MLX	MLXIP	MXD4
MTFMT	MTHFD2	MTHFD2L
NF1	RRAS2	SPRED2
SDHAF1	SDHAF2	SDHAF3
ALDH3A1	ALDH3B1
STAU1
STK24
STK25
STRBP
STX4
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNPO
SYPL1
TACC3
TAF11
TAF12
TAF15
TAF6
TANK
TAOK1
TAOK3
TAPBP
TARDBP
TAX1BP1
TBPL1
TBX3
TCEA2
TCERG1
TCF25
TCHP
TCTN1
TERF1
TFAP2A
TFAP2C
TFDP2
TGFBI
TGFBR1
TGFBR2
TGOLN2
THAP11
THAP2
THG1L
THRAP3
TIAL1
TIMELESS
TIMM23
TIMM44
TIMMDC1
TIMP1
TIPIN
TJP1
TLK1
TLK2
TMA16
TMEM109
TMEM189
TMEM199
TMEM237
TMX1
TNFRSF12A
TNPO3
TNRC6A
TNRC6B
TNS3
TNS4
TOB1
TOP1
TOP2A
TOPBP1
TOR1A
TOX4
TP53
TP53I13
TP53I3
TPX2
TRA2A
TRADD
TRAF2
TRAF5
TRAPPC6A
TRIM56
TRIP12
TRIP13
TRMT10C
TRMT6
TRMT61A
TSFM
TSG101
TSPAN14
TSPAN15
TSPAN17
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBB
TUBGCP2
TWF1
TWIST2
TWISTNB
TXN
TXNRD1
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2E1
UBE2G1
UBE2G2
UBE2H
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL7
UBQLN1
UBR4
UCHL3
UCHL5
UCK2
UCP2
UHRF1
UMPS
UNG
UPF2
UPF3A
UPF3B
UQCRC1
USO1
USP1
USP14
USP3
USP39
USP7
USP9X
UTP18
VAMP8
VDAC3
VGF
VIM
VKORC1L1
VPS35
VPS53
WAC
WAPL
WBP11
WBP4
WDR1
WDR18
WDR33
WDR4
WDR46
WDR5
WDR61
WDR74
WDR76
WDR77
WDR82
WIPF2
WWTR1
XBP1
XIAP
XPC
XPOT
XRCC2
XRCC5
XRCC6
YAF2
YEATS4
YWHAE
ZBTB38
ZBTB7A
ZBTB8OS
ZC3H13
ZC3H14
ZC3H4
ZC3H8
ZC3HAV1
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF32
ZNF326
ZNF622
ZPR1
ZWILCH
ZWINT
