# Observed cut height: 0.0027999433
# Observed size of largest cluster at observed cut height: 237
# Expected size of largest cluster at observed cut height: 114.7
# Observed maximum ratio statistic: 2.066
# Expected maximum ratio statistic: 1.713
# p-value: 0.2
# Clusters:
ABI2	ABL2	ACER3	AGTRAP	AHNAK	AHNAK2	AKAP9	ANXA1	ARCN1	AREG	ARF4	ARF5	ARFIP2	ARHGAP5	ARL1	ARPC1B	ASAH1	ATF7	ATG12	ATG5	BATF3	BBC3	BCAR1	BIRC3	BNIP3L	CACYBP	CAMLG	CAPN1	CDC42EP1	CDC42EP3	CDC42EP4	CDK5RAP2	CERS2	CFLAR	CHML	CHMP1A	CHMP2B	CHMP5	COL7A1	COMMD1	COMMD10	COMMD2	COMMD5	COPZ2	CPLX2	CREB3	CSNK1D	CTSB	CTSC	CTSL	CYBA	DDIT3	DIAPH1	DNM1L	DOCK5	E2F6	EHBP1	EHD1	EHD2	ELOVL1	ENAH	EREG	ERO1A	EXOC7	EZR	FADD	FAM3C	FAT1	FBLIM1	FBRSL1	FBXO22	FERMT1	FILIP1	FJX1	FLNA	FNIP1	FOSL1	FOSL2	FSCN1	FUNDC1	GABPB1	GCC2	GNAI2	GNAI3	GNB5	GNG11	GNG12	GOPC	GOSR2	HGS	HLA-A	IL32	ILK	ILKAP	ITFG2	ITGA3	JUNB	JUND	KDSR	KEAP1	KIAA0930	KIF5B	KLHDC2	KLHDC3	LAMC2	LAMP1	LETM1	LIMS1	LMAN1	MAFK	MAP1B	MAP2K4	MAP3K11	MCL1	MET	MICU1	MLPH	MVB12A	MYH9	MYOF	NCKAP1	NEIL2	NFE2L1	NFKBIA	NFKBIB	NKIRAS2	NUP62	OPTN	PAK4	PALLD	PARD3	PARD6A	PDIA3	PEF1	PGAM5	PITPNC1	PKN1	PKN2	PLAU	PLAUR	PLIN3	PNKP	PPP1CB	PPP1R10	PPP1R11	PPP1R12A	PPP1R15A	PPP1R7	PRAME	PREB	PSAP	PTK2	PTP4A1	PTPRJ	PXN	RAB10	RAB11B	RAB11FIP2	RAB1B	RAB22A	RAB27B	RAB31	RAB35	RAB9A	RABEPK	RABGGTB	RAC3	RALA	RALB	RB1CC1	REL	RELB	RGS19	RHOB	RHOBTB3	RHOD	RHOQ	RHPN2	RIC8A	RND3	ROCK1	RPP30	RRAGA	S100A4	S100A6	SAR1A	SAR1B	SCOC	SEC13	SEC22C	SERPINE2	SFN	SH3KBP1	SHARPIN	SLC10A3	SNX12	SNX2	SNX6	STX2	SYNM	SYT1	TANK	TBC1D20	TES	TFG	TLN1	TMED1	TMED10	TMED4	TMEM106B	TNFAIP2	TNIP1	TNIP2	TPD52L1	TPD52L2	TPR	TRADD	TRAPPC10	TRIB3	TRIM44	TSG101	UBE2D4	UBL4A	VAMP3	VAMP8	VASP	VCL	VPS26A	VPS28	VPS35	VPS4A	VTA1	WASF2	WDR1	YAF2	YKT6	ZYX
ACAA2	ACADVL	ACAT2	ADPGK	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1B1	ALDOA	APOBEC3C	B4GALT1	B4GALT2	B4GALT4	CDA	CDYL	CES1	CES2	CMPK1	CPS1	CYP1B1	DERA	DHCR24	DHCR7	ECH1	ECHDC1	EPHX1	ESD	ETFB	FDFT1	FNTA	FOXC1	G6PC3	GALE	GALK1	GGCX	GLRX	GLS	GLUD1	GNPDA1	GNPNAT1	GPX2	GPX8	GSTO1	HADHB	HAGH	HOXB6	HOXB8	HOXB9	IDH1	IDH2	IDI1	INSIG1	LYRM1	MEIS2	MGST1	MGST2	MVD	MVK	NUS1	PBX1	PFKFB3	PFKP	PGM2L1	PYGB	PYGL	QDPR	SCP2	SOD2	ST6GAL2	SULT2B1	TALDO1	TIGAR	TKT	TXNRD2	TYMP	UAP1	UCK2	VKORC1L1	YBEY
AFG3L2	ATPAF1	ECSIT	FAHD1	LONP1	NDUFA5	NDUFA9	NDUFAF4	NDUFAF6	NDUFB5	OCIAD1	PMPCB	SDHAF1	SDHAF2	SDHAF3	SDHD	SPG7	TIMMDC1	TMEM70	TRIM59	YME1L1
AGPAT1	AGPAT5	ALG3	ALG5	ALG8	BAIAP2L1	CDIPT	CDS2	DPM1	FLAD1	IMPAD1	MPDU1	MTFMT	MTHFD2	PAPSS2	PIGH	PLCD3	PLPP5	PSPH	SHMT2	SLC26A2
BCS1L	CPSF6	CSTF3	LRPPRC	METTL16	SCO1	SURF1	UBN1	WTAP	YTHDC1	YTHDF1
ACIN1	NKTR	SON	SREK1	SRPK1	SRPK2	SRSF11	SRSF4	SRSF6	SRSF8
C12orf65	DAP3	ERAL1	MRPL47	MRPL50	MRPS18A	MRPS27	MTERF4	MTIF3	RBFA
COL18A1	DR1	GIT1	GPC1	GRK6	LRFN4	PPFIA1	PPFIBP1	PTPRS	TBPL1
AIFM1	ELAC2	ENDOG	EXOG	TRMT10C	TRMT6	TRMT61A	WDR4
AHI1	B9D1	B9D2	PCM1	RAB8A	TMEM107	TMEM237
C11orf74	HIP1	IFT27	IFT43	IFT57	IFT81	TRAF3IP1
GPN1	GTF3C2	PDRG1	PIH1D1	POLR3D	POLR3G	POLR3GL
AGFG1	BIN1	DAB2	EPN2	FCHO1	ITSN2
AJUBA	FRMD6	NF2	SAV1	WTIP	WWC1
ALDH1A1	CD24	DHRS3	DHRS4	RDH10	RDH11
ASPSCR1	DERL1	LACTB	NPLOC4	PRCC	UBE2J1
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
CSAG1	NSMCE1	SLF1	SLF2	SMC5	SMC6
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
ACOT7	HACD1	HACD3	HSD17B12	TECR
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	TMEM199
ATXN2	FXR1	G3BP1	NUFIP2	PURA
C11orf1	C9orf116	CFAP20	TUBA4A	TUBB4B
C19orf12	FA2H	PANK2	PANK3	PPCS
CD3EAP	TAF1D	TCOF1	UBTF	ZNRD1
COL4A2	COL5A2	FKBP10	PLOD2	SERPINH1
DDX39A	NCBP3	THOC2	THOC3	THOC6
KRIT1	STK25	STRN3	TAOK1	TAOK3
ACTR1A	ACTR1B	DCTN6	DYNC1LI2
APOO	CHCHD6	IMMT	MTX1
APTX	COQ5	COQ9	FXN
B4GALNT1	GALNT2	HEXA	ST3GAL5
BOLA1	CIAO1	CIAPIN1	NUBP1
C1D	EXOSC3	EXOSC6	PNPT1
CD47	PROCR	SCARB1	TFPI
CDCA7L	PSIP1	RAD1	SLC20A1
CNP	CTDSP1	MBP	REST
CSE1L	KPNA3	KPNA6	RCC1
DDOST	KRTCAP2	STT3B	TUSC3
GADD45A	MBD4	TDG	UNG
GRAMD1B	NPC1	NPC2	STARD3NL
LMNA	LMNB2	SUN1	SYNE1
PDLIM5	PDLIM7	TNNT1	TPM2
AASDHPPT	HAT1	WDR73
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AFMID	KYNU	ME1
AP1M2	AP1S2	CLINT1
ARL6IP1	ATL3	RTN3
BLVRA	BLVRB	HCCS
CCL2	CXCL2	CXCL5
CTBP1	CTBP2	KLF3
CYB5B	CYB5R3	POR
FST	FSTL3	INHBB
GATAD2A	MBD2	MTA1
HES6	MSC	TLE1
HEXIM1	HEXIM2	LARP7
HMGA1	HMGA2	LPP
ICE1	NELFB	WDR61
IGBP1	MID1	TIPRL
KRT18	KRT19	KRT8
MBNL1	QKI	RBPMS
MLX	MLXIP	MXD4
NEK6	RPUSD1	RPUSD3
ODC1	SAT1	SMOX
PRKCSH	SEC63	STRADB
PSMD7	PSME1	PSME2
TSPAN14	TSPAN15	TSPAN17
ADIPOR2	APPL1
IQGAP1
IREB2
IRF1
IRF3
IRS1
IRS2
ISG15
ISG20
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
IVNS1ABP
JADE1
JAG1
JAK1
JMJD6
JUN
JUP
KCTD1
KCTD15
KCTD9
KHSRP
KIF14
KIF18A
KIF20B
KIF21A
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KLF5
KLF6
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA2
KPNA4
KRAS
KRR1
L3HYPDH
LAMA5
LARP4
LAS1L
LAYN
LBR
LDHA
LDLR
LEO1
LGALS3
LGALS3BP
LIMA1
LMO4
LOXL2
LPIN1
LRP10
LRPAP1
LRRFIP2
LSM6
LTBP3
LTBP4
LUC7L
LYAR
MACF1
MAD2L1
MAD2L2
MAGEF1
MAGOH
MAP1LC3A
MAP2K3
MAP3K14
MAP3K2
MAP3K8
MAP4K4
MAP7
MAPKAPK3
MAPRE1
MARCKS
MARCKSL1
MAVS
MAX
MBD3
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MCU
MDK
MDM2
MDM4
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
MEPCE
METTL21A
MFGE8
MFSD10
MGLL
MIF
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MMP24
MNAT1
MND1
MOB4
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MPZL1
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL48
MRPL49
MRPS17
MRPS18B
MRPS30
MRPS9
MRRF
MRTO4
MSH6
MSL1
MSL3
MSMO1
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTHFD1
MTHFD2L
MTIF2
MTRF1L
MTX2
MYC
MYCBP2
MYL6
MYO10
MYO1B
MZT1
NAE1
NAMPT
NAPA
NASP
NBL1
NBR1
NCAPD2
NCBP2
NCL
NCLN
NCOA3
NCOR2
NDRG1
NDUFA10
NDUFA13
NDUFA7
NDUFS2
NECAP2
NEDD4L
NEDD9
NEK2
NF1
NFE2L2
NFKB2
NGDN
NGRN
NIFK
NIP7
NIT2
NKAP
NMRAL1
NNMT
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPAS2
NPM1
NPRL3
NQO1
NR0B1
NR3C1
NR4A1
NRBF2
NRCAM
NRG1
NRIP1
NRP1
NSD1
NSFL1C
NSL1
NT5C2
NT5E
NTS
NUAK1
NUDC
NUDT15
NUDT2
NUDT21
NUDT8
NUF2
NUP155
NUP37
NUPR1
NUSAP1
NXN
OAS1
OPN3
ORC6
OS9
PA2G4
PABPC4
PACS1
PAF1
PAK1IP1
PAK2
PARD6B
PBDC1
PBK
PCGF2
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDE8A
PDGFA
PDHA1
PDHB
PDIA4
PDK4
PDLIM1
PDS5A
PDXK
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFDN6
PFN1
PGK1
PHC2
PHF20
PHF20L1
PHF3
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLPP2
PIF1
PIGP
PIR
PITPNA
PKM
PLEK2
PLIN2
PLK1
PLK2
PMAIP1
PMEPA1
PMF1
PMP22
PMPCA
PNISR
PNO1
PNRC2
PODXL
POLR2A
POLR2D
POLR2H
PPAN
PPARG
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPP1R14A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP4R3B
PPP5C
PRC1
PRDX1
PRDX4
PRIM1
PRKAG2
PRKCA
PRKRIP1
PRMT1
PRMT5
PRNP
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRPS1
PRPS2
PRPSAP1
PRSS3
PSAT1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD9
PSMG1
PSMG2
PSMG4
PTCD3
PTDSS1
PTEN
PTGS2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRF
PTTG1
PTTG1IP
PUM3
PVR
RAB14
RAB21
RAB5A
RAB6A
RACGAP1
RAD21
RAD50
RAD51D
RAD9A
RAE1
RAF1
RARG
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBM14
RBM23
RBM25
RBM28
RBM42
RBMX2
RCC2
RDX
RECQL
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS14
RGS2
RHOV
RICTOR
RIF1
RILP
RMI2
RNASEH2A
RNASEH2B
RNF135
RNF40
RNF5
RNF8
RNMT
ROCK2
RPA1
RPA2
RPE
RPF2
RPIA
RPL22L1
RPL26
RPN2
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA4
RPS7
RRAS2
RRBP1
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP9
RSAD1
RSF1
RSRC1
RSRC2
RTCA
RUVBL1
S100A2
S1PR3
SAMD4B
SAP30BP
SAP30L
SBDS
SCAMP3
SCD
SCNM1
SCO2
SCRIB
SDC1
SDC4
SDCBP
SDF2
SDSL
SEC61A1
SECISBP2
SENP6
SEPHS1
SERPINE1
SERTAD3
SET
SETD7
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SHB
SIRT7
SKAP2
SKIL
SLBP
SLC16A3
SLC25A13
SLC25A3
SLC25A4
SLC25A6
SLC2A1
SLC2A3
SLC40A1
SLC9A3R1
SLC9A3R2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD2
SMARCE1
SMC4
SMG1
SMKR1
SMYD2
SNAP47
SNRNP200
SNRNP27
SNRNP40
SNW1
SNX8
SOCS2
SOCS3
SOCS6
SOX2
SOX4
SOX9
SPC25
SPDL1
SPECC1
SPHK1
SPP1
SPRED2
SPTAN1
SQLE
SRC
SREBF1
SRGAP1
SRGN
SRP68
SRP72
SRRT
SRSF3
SSB
SSBP1
SSBP4
SSH2
SSR1
STAG2
STAMBPL1
STAT1
STAT3
STAU1
STK24
STRBP
STX4
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNJ2BP
SYNPO
SYPL1
TACC1
TACC2
TACC3
TACO1
TAF11
TAF12
TAF15
TAF6
TAF7
TAPBP
TARDBP
TAX1BP1
TBL1X
TBL1XR1
TBX3
TCEA2
TCERG1
TCHP
TCTEX1D2
TCTN1
TDP2
TEAD1
TEAD4
TERF1
TFAP2A
TFAP2C
TFDP2
TFRC
TGFB2
TGFBI
TGFBR1
TGFBR2
TGOLN2
THAP2
THAP7
THBD
THEM4
THG1L
THRAP3
TIAL1
TIMELESS
TIMM23
TIMM44
TIMP1
TIMP2
TIPIN
TJP1
TLE4
TLK1
TLK2
TMA16
TMED7
TMEM18
TMEM189
TMX1
TNFAIP1
TNFRSF10B
TNFRSF12A
TNPO3
TNS3
TNS4
TOB1
TOP1
TOP2A
TOP2B
TOPBP1
TOR1A
TOX4
TP53
TP53I13
TP53I3
TPM1
TPX2
TRA2A
TRAF2
TRAF5
TRAM1
TRAPPC4
TRAPPC6A
TRIM56
TRIOBP
TRIP12
TRIP13
TRIP6
TRUB2
TSFM
TSNAX
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBB
TUBB6
TUBGCP2
TWF1
TWIST2
TWISTNB
TXN
TXNDC12
TXNDC9
TXNRD1
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2E1
UBE2E2
UBE2G1
UBE2G2
UBE2H
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
UBE3C
UBL7
UBQLN1
UBR4
UBXN2A
UBXN4
UCHL3
UCHL5
UCP2
UGP2
UHRF1
UMPS
UPF2
UPF3B
UQCRC1
UQCRC2
USO1
USP1
USP10
USP14
USP3
USP39
USP7
USP8
USP9X
UTP18
VAMP2
VDAC3
VEGFB
VGF
VIM
VPS25
VPS53
WAC
WAPL
WBP11
WBP2
WBP4
WDR18
WDR33
WDR46
WDR5
WDR74
WDR76
WDR77
WDR82
WIPF2
WIPI2
WWTR1
XBP1
XIAP
XPC
XPOT
XRCC2
XRCC5
XRCC6
YEATS4
YTHDF2
YWHAE
ZBTB38
ZBTB7A
ZC3H13
ZC3H18
ZC3H4
ZC3H8
ZC3HAV1
ZCCHC8
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF326
ZNF622
ZPR1
ZWILCH
ZWINT
