# Observed cut height: 0.006032987
# Observed size of largest cluster at observed cut height: 59
# Expected size of largest cluster at observed cut height: 17.4
# Observed maximum ratio statistic: 3.391
# Expected maximum ratio statistic: 1.682
# p-value: 0.0
# Clusters:
ACACA	ACADVL	ACAT1	ACAT2	ACOT7	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	ECH1	ELOVL5	EPHX1	FADS2	FDFT1	FDPS	FOXC1	GGCX	GLRX	GPX2	GSR	HACD1	HACD2	HACD3	HADHA	HADHB	HCCS	HMGCS1	HMOX1	HOXB8	HOXB9	HSD17B12	INSIG1	LBR	LMNB2	MAFK	MEIS2	MGLL	MGST2	MSMO1	NFE2L1	NUS1	PBX1	POR	PTDSS1	SCD	SCP2	SEPHS1	SQLE	SULT2B1	TECR	THEM4	TXNRD1	TXNRD2	VKORC1L1
GOSR1	LETM1	MCU	MICU1	RAB11B	RAB11FIP2	RAB1B	RAB6A	TBC1D20	TRAPPC10	TRAPPC4	TRAPPC6A	USO1	VAMP3	VAMP8	VPS53
CHMP1A	CHMP1B	CHMP2B	TMEM106B	VPS25	VPS28	VPS4A	VTA1
ADIPOR2	NAMPT	NNMT	SIRT7	TAF1D	TCOF1	UBTF
AGPAT1	GNPAT	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
AHI1	B9D1	BBIP1	CEP290	PCM1	TMEM107	TMEM237
AHNAK	CAPN1	EHBP1	EHD2	MYOF	RAB10	RAB14
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
FBXO7	SERPINE2	SNX12	SNX6	SNX8	VPS26A	VPS35
ARHGAP35	ARHGAP5	RHOB	RHPN2	RND3	ROCK2
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
BATF3	FOSL1	FOSL2	JUND	MAP3K11	SFN
ACBD3	DRG1	GOLGA3	TSN	TSNAX
ASPSCR1	LACTB	NSFL1C	UBXN2A	UBXN4
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	ATP6V1E2
B4GALNT1	GALNT1	HEXA	HEXB	ST3GAL5
B4GALT1	B4GALT2	B4GALT3	B4GALT4	ST6GAL2
BCS1L	LRPPRC	SCO1	SCO2	SURF1
CSAG1	MAGEF1	NSMCE1	SLF1	SMC5
KCTD1	KCTD15	TFAP2A	TFAP2C	TMEM18
ADAM10	TSPAN14	TSPAN15	TSPAN17
AGR2	DAG1	ITGA3	LAMA5
APOO	IMMT	MPV17	MTX2
ARCN1	COPZ2	TMED10	TMED4
C11orf1	C9orf116	CFAP20	TUBB4B
C19orf12	PANK2	PANK3	PPCS
CES1	CES2	ESD	HAGH
DPYSL2	MSI2	NUMBL	ZC3H14
ETFB	FDXR	L3HYPDH	TMEM109
GAL	GIP	NLN	NTS
GNG12	PAK2	PAK4	RHOV
NRCAM	NRP1	NRP2	SEMA3C
RPE	RPIA	TALDO1	TKT
ABCC1	ABCC2	ABCG2
ACTR3	ARPC1B	WDR1
ADM	ECE2	EDN1
AFG3L2	LONP1	SPG7
AP1M2	AP1S2	CLINT1
APTX	COQ5	COQ9
ASAH1	CERS2	PSAP
ATIC	CANT1	IMPDH2
BDP1	GTF3C2	POLR3GL
BOLA1	CIAO1	NUBP1
CA12	CA8	CYP24A1
CDC42EP1	CDC42EP3	RHOQ
COLGALT1	FKBP10	PLOD2
COMMD2	COMMD3	COMMD5
CTSA	CTSD	CTSL
DDX39A	THOC2	THOC6
DHX33	IL18	PYCARD
ESRRA	NRIP1	SLC7A1
GNPDA1	GNPNAT1	UAP1
HEXIM1	LARP7	MEPCE
HMGA1	HMGA2	LPP
ICMT	KRAS	RPS6KA3
IFT27	IFT81	TRAF3IP1
IGFBP4	PAPPA	STC2
METTL16	YTHDC1	ZC3H13
MLX	MLXIP	MXD4
MPZL1	PMP22	RNMT
MTHFD1	MTHFD2	MTHFD2L
NDUFA10	NDUFA5	NDUFA9
NGRN	RPUSD3	TRUB2
ODC1	SAT1	SMOX
PGM2L1	PYGB	UGP2
PREB	SAR1A	SAR1B
RPN2	TRAM1	TUSC3
THAP11	THAP4	THAP7
AGTRAP	CAMLG
EXOG
EXOSC1
EXOSC2
EXOSC3
EXOSC6
EXOSC7
EXOSC8
EZR
F2RL1
FA2H
FAAP24
FADD
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FARSA
FARSB
FAT1
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXW11
FCHO1
FEN1
FERMT1
FES
FGA
FGF2
FGFR1
FGFR1OP2
FH
FHL1
FHL2
FILIP1
FJX1
FKBP11
FKBP1B
FKBP3
FLAD1
FLII
FLNA
FLOT2
FMNL1
FN1
FNIP1
FNTA
FOXA2
FRA10AC1
FRMD6
FSTL3
FTSJ1
FTSJ3
FUBP1
FUNDC1
FXN
G3BP1
G6PC3
GABPB1
GADD45A
GADD45B
GALE
GALK1
GALNT2
GAN
GAPDH
GAR1
GAS2L1
GATAD2A
GATC
GCC2
GCFC2
GDF15
GFER
GFRA1
GGPS1
GIGYF1
GINS1
GINS4
GIT1
GJA1
GJC1
GLIPR1
GLUD1
GMNN
GMPS
GNAI2
GNAI3
GNAQ
GNB5
GNG11
GNL3
GOLGB1
GOLT1B
GOPC
GORASP2
GOSR2
GOT1
GPN1
GPN3
GPS1
GPX3
GPX8
GRAMD1B
GREM1
GRIN2B
GRK6
GRN
GRPEL1
GRWD1
GSTO1
GTF2F1
GTF2F2
GTF2H1
GTPBP4
GTSE1
GULP1
HAT1
HAUS1
HAUS2
HAUS6
HCFC1
HDAC1
HDAC2
HDAC3
HERC2
HERPUD1
HES1
HES6
HEXIM2
HGS
HIF1A
HIP1
HIPK2
HJURP
HLA-A
HM13
HMG20B
HMGB2
HMGXB4
HMMR
HMOX2
HNRNPDL
HNRNPH1
HOXB13
HOXB6
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
HYAL2
IARS2
IBTK
ICE1
ICE2
IDH2
IDH3A
IDH3B
IDH3G
IDI1
IFNGR2
IFRD1
IFT43
IFT57
IGBP1
IGF1R
IGF2
IGF2BP1
IGFBP3
IGFBP6
IGFBP7
IK
IKBIP
IL11
IL13RA1
IL32
IL6ST
ILF2
ILK
ILKAP
IMPAD1
IMPDH1
INA
INF2
ING2
INO80C
INO80E
IPO5
IPO9
IQGAP1
IREB2
IRF1
IRF3
IRS1
IRS2
ISG15
ISG20
ITFG2
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
JADE1
JAG1
JAK1
JMJD6
JUN
JUNB
JUP
KANK1
KCTD9
KDM5A
KDSR
KEAP1
KHSRP
KIAA0930
KIF14
KIF18A
KIF20B
KIF21A
KIF22
KIF23
KIF2A
KIF3B
KIF4A
KIF5B
KLF3
KLF5
KLF6
KLHDC2
KLHDC3
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA2
KPNA3
KPNA4
KPNA6
KRIT1
KRR1
KRT18
KRTCAP2
KYNU
LAMC2
LAMP1
LARP4
LAS1L
LAYN
LCMT1
LDHA
LDLR
LEO1
LGALS3
LGALS3BP
LIMA1
LIMS1
LMAN1
LMNA
LOXL2
LRFN4
LRP10
LRPAP1
LRRFIP2
LSM6
LTBP3
LTBP4
LUC7L
LYAR
LYRM1
MACF1
MAD2L1
MAD2L2
MAGOH
MAP1B
MAP1LC3A
MAP2K3
MAP2K4
MAP3K14
MAP3K2
MAP3K8
MAP4
MAP4K4
MAP7
MAPK12
MAPK6
MAPK9
MAPKAPK3
MAPKAPK5
MAPRE1
MARCKS
MARCKSL1
MARK3
MAVS
MAX
MBD3
MBP
MCL1
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MDK
MDM2
MDM4
ME1
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED31
MED8
MELK
MET
METTL21A
MFGE8
MGST1
MID1
MIF
MIF4GD
MIS18BP1
MKI67
MKNK1
MKNK2
MLLT10
MMP24
MNAT1
MND1
MOB4
MPDU1
MPHOSPH10
MPHOSPH6
MPRIP
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL37
MRPL44
MRPL45
MRPL46
MRPL47
MRPL48
MRPL49
MRPL50
MRPS17
MRPS18A
MRPS18B
MRPS27
MRPS30
MRPS9
MRRF
MRTO4
MSC
MSH6
MSL1
MSL3
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTA1
MTERF4
MTFMT
MTIF2
MTIF3
MTRF1L
MTX1
MUC5AC
MVB12A
MVD
MVK
MYC
MYCBP2
MYH9
MYL6
MYO10
MYO1B
MZT1
NAA15
NAA60
NAE1
NAPA
NASP
NBL1
NBR1
NCBP2
NCBP3
NCKAP1
NCL
NCOA3
NCOR2
NDRG1
NDUFA13
NDUFA7
NDUFAF4
NDUFAF6
NDUFB5
NDUFS2
NECAP2
NEDD4L
NEDD9
NEIL2
NEK2
NEK6
NELFB
NF1
NF2
NFE2L2
NFKB2
NFKBIA
NFKBIB
NGDN
NIFK
NIP7
NKAP
NKIRAS2
NKTR
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPC1
NPLOC4
NPM1
NPRL3
NQO1
NR0B1
NR3C1
NR4A1
NRBF2
NRG1
NSD1
NSL1
NT5C2
NT5E
NUDC
NUDT15
NUDT21
NUDT8
NUF2
NUFIP2
NUP155
NUP37
NUP62
NUPR1
NUSAP1
NXN
OAS1
OCIAD1
OPN3
OPTN
ORC6
OS9
PA2G4
PACS1
PAF1
PAK1IP1
PALLD
PAPSS2
PARD3
PARD6A
PARD6B
PBDC1
PBK
PCGF2
PCNA
PCYOX1
PDCD10
PDCD7
PDCL3
PDE6D
PDE8A
PDGFA
PDHA1
PDHB
PDIA3
PDK4
PDLIM1
PDLIM5
PDLIM7
PDRG1
PDS5A
PDXK
PEA15
PEF1
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFDN6
PFKFB3
PFKP
PFN1
PGAM5
PGK1
PHAX
PHC2
PHF20
PHF20L1
PHF23
PHF6
PHGDH
PHIP
PHKG1
PHLDA1
PHLDB2
PHLPP2
PIF1
PIGH
PIGP
PIH1D1
PIR
PITPNA
PITPNC1
PKM
PKN1
PKN2
PLAU
PLAUR
PLCD3
PLEK2
PLIN2
PLIN3
PLK1
PLK2
PMAIP1
PMEPA1
PMF1
PMPCA
PMPCB
PNKP
PNO1
PNPT1
PNRC2
PODXL
POLR2A
POLR2D
POLR2H
POLR3D
POLR3G
PPAN
PPARG
PPFIA1
PPFIBP1
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPME1
PPP1CB
PPP1R10
PPP1R12A
PPP1R14A
PPP1R15A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP4R2
PPP4R3A
PPP4R3B
PPP5C
PPP6R1
PRAME
PRC1
PRCC
PRDX1
PRDX4
PRIM1
PRKAG2
PRKCA
PRKCSH
PRKRIP1
PRMT1
PRMT5
PRNP
PROCR
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRPS1
PRPS2
PRSS3
PSAT1
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB4
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD7
PSMD9
PSME1
PSME2
PSMG1
PSMG2
PSMG4
PSPH
PTCD3
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRF
PTPRJ
PTPRS
PTTG1
PTTG1IP
PUM3
PURA
PVR
PXN
PYGL
PYM1
QDPR
QKI
RAB21
RAB22A
RAB31
RAB5A
RAB5B
RAB8A
RAB9A
RABEPK
RABGGTB
RAC3
RACGAP1
RAD1
RAD21
RAD50
RAD51D
RAD9A
RAE1
RAF1
RALA
RALB
RARG
RB1CC1
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM25
RBM28
RBM42
RBMX2
RBPMS
RCC1
RCC2
RDH10
RDH11
RDX
RECQL
REL
RELB
REST
REXO4
RFC1
RFC2
RFC3
RFC4
RGCC
RGS14
RGS19
RGS2
RHOBTB3
RHOD
RIC8A
RICTOR
RIF1
RILP
RIN2
RMI2
RNASEH2A
RNASEH2B
RNF11
RNF135
RNF40
RNF5
RNF8
ROCK1
RP9
RPA1
RPA2
RPF2
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA4
RPS7
RPUSD1
RRAGA
RRAS2
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSRC1
RSRC2
RTCA
RUVBL1
S100A2
S100A4
S100A6
S1PR3
SAMD4B
SAP30BP
SAP30L
SAV1
SBDS
SCAMP3
SCARB1
SCNM1
SCOC
SCRIB
SDC4
SDCBP
SDF2
SDHAF2
SDHD
SEC13
SEC22C
SEC61A1
SENP6
SERPINE1
SERPINH1
SERTAD3
SET
SETD7
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SIAH2
SKAP2
SKIL
SLBP
SLC10A3
SLC16A3
SLC20A1
SLC25A13
SLC25A3
SLC25A4
SLC25A6
SLC26A2
SLC2A1
SLC2A3
SLC40A1
SLC9A3R1
SLC9A3R2
SLF2
SLK
SLU7
SMAD2
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCE1
SMC1A
SMC4
SMC6
SMG1
SMKR1
SMYD2
SNAP47
SNRNP200
SNRNP27
SNRNP40
SNUPN
SNW1
SNX2
SOCS2
SOCS3
SOCS6
SOD2
SON
SOX2
SOX4
SOX9
SPAG9
SPC25
SPDL1
SPECC1
SPHK1
SPP1
SPRED2
SPTAN1
SRC
SREBF1
SREK1
SRGAP1
SRGN
SRP68
SRP72
SRPK1
SRPK2
SRRT
SRSF3
SRSF4
SRSF6
SRSF8
SSB
SSBP1
SSH2
SSR1
STAG2
STAMBP
STAMBPL1
STAT1
STAT3
STAU1
STK24
STK25
STOM
STRBP
STRN3
STT3B
STX2
STX4
STX8
SUGT1
SUN1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNE1
SYNM
SYNPO
SYPL1
TACC1
TACC2
TACC3
TACO1
TAF11
TAF12
TAF15
TAF6
TAF7
TANK
TAOK1
TAOK3
TAPBP
TARDBP
TBL1X
TBL1XR1
TBPL1
TBX3
TCEA2
TCERG1
TCHP
TCTEX1D2
TCTN1
TEAD1
TEAD4
TERF1
TES
TFDP2
TFF1
TFG
TFPI
TFRC
TGFB2
TGFBI
TGFBR1
TGFBR2
TGOLN2
THAP2
THBD
THG1L
THOC3
THRAP3
TIAL1
TIGAR
TIMELESS
TIMM23
TIMM44
TIMMDC1
TIMP1
TIMP2
TIPIN
TIPRL
TJP1
TLE1
TLE4
TLN1
TMA16
TMED1
TMED7
TMEM189
TMEM199
TMEM70
TMX1
TNFAIP1
TNFAIP2
TNFRSF10B
TNFRSF12A
TNIP1
TNIP2
TNPO3
TNRC6A
TNRC6B
TNS3
TNS4
TOB1
TOP1
TOP2A
TOP2B
TOPBP1
TOR1A
TOX4
TP53
TP53I13
TP53I3
TPM1
TPR
TPX2
TRA2A
TRADD
TRAF2
TRAF5
TRIB3
TRIM44
TRIM56
TRIOBP
TRIP12
TRIP13
TRIP6
TRMT10C
TRMT6
TRMT61A
TSFM
TSG101
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB6
TUBGCP2
TWF1
TWIST2
TWISTNB
TXN
TXNDC12
TXNDC9
TYMP
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2D4
UBE2E1
UBE2E2
UBE2G1
UBE2G2
UBE2H
UBE2J1
UBE2J2
UBE2Q2
UBE2S
UBE2T
UBE2Z
UBE3A
