genes_names,lfc_cluster5
FLNA,-0.12297071734652154
FDFT1,-0.3283125622824291
CTSB,0.24272763953534038
DPYSL2,-0.2857980590421848
CLU,-0.178959880401806
DUSP4,0.7884414206940626
EIF4EBP1,0.06247457732019921
SFRP1,1.0290016741781367
CEBPD,-0.5357170033471167
TRAM1,-0.8396421318152714
SQLE,-0.20785028278350728
VPS28,0.3540430817128851
C8orf82,0.27628478670893586
TPM2,-0.21731827430751327
ALDH1A1,-0.22537730504225717
CTSL,0.8176033425227514
MSANTD3,0.08605543988672988
CTNNAL1,0.21118578532100857
TXN,-0.04895094861391573
PTGR1,-0.2893424156632942
PTGES,1.0611888091474908
TUBB4B,-0.16424912192728652
PHLDA2,0.7379153846317974
ADM,-0.676337807090647
EIF4G2,-0.11638056951795675
LDHA,0.10721142670751935
CD59,0.3693827197432416
CD44,0.5074230276019777
FADS2,-0.25791125403577453
AHNAK,0.06536369795124083
SLC3A2,-0.29868576697527477
NUDT22,0.3653113888414143
CCDC85B,0.1320794043778841
RAB1B,0.2945206647843422
GAL,0.3534372405900629
MYEOV,0.2657173863861063
UCP2,-0.5051589496203326
PRSS23,-0.08479284343990513
DDX10,0.9574138919000484
KLF6,0.11706113244556082
AKR1C2,-0.7775829460279378
AKR1C1,-0.49678340179262326
AKR1C3,-0.6988264424457233
PFKFB3,-0.48095706306916897
FAM107B,0.49319275902985915
VIM,0.1264289756161122
DKK1,0.49152891190842923
KCNMA1,0.7668014177177913
TSPAN14,0.5354672499754414
AVPI1,-0.09951485779499561
SCD,-0.25688653948996876
CTBP2,0.29195212255588393
GAPDH,-0.034622950885370526
GPRC5A,0.5642081629087052
MGST1,-0.12441608860887929
LDHB,-0.06327493169287798
KRAS,-0.23745475457492699
YAF2,-0.23200112291733993
AMIGO2,-0.31507447915475495
TUBA1B,-0.1725317005974097
SPATS2,0.28016514746122156
KRT8,-0.12876335210237524
IGFBP6,0.31310289165337724
MYL6,-0.10851848493385305
PHLDA1,0.562520677334986
TXNRD1,-0.1770799647081636
C12orf75,-0.2394747340524574
UBC,-0.14925482921634445
TSC22D1,1.121014679103539
PCDH9,-0.4992008374521542
SNX6,0.21472492039961738
GPX2,-0.9207234286166821
ZFP36L1,0.18880289264848865
RBM25,-0.2880148894999509
NPC2,-0.21432636337523675
HSP90AA1,-0.1101072698800484
TNFAIP2,-0.35036121412408655
CRIP1,0.17032224064035056
RP11-680F8.1,-0.21426218260480048
TJP1,-0.275730075746072
CHP1,-0.3792937657636263
ANXA2,-0.03381559482761891
TPM1,-0.18588307658156572
LACTB,-0.3690629321797227
CA12,-0.2324953198207193
PAQR5,0.496800960793376
PKM,0.11280025826062993
NMB,0.35208308114551234
ISG20,0.46872943262559674
MFGE8,-0.36571868962979803
MESP1,0.5125982612441911
METRN,-0.25588623481821193
TNFRSF12A,0.29516935860241994
NUPR1,-1.161386834209641
MT2A,0.5405486641554581
MT1A,0.33997947629581515
MT1X,0.18984583351477372
VPS4A,0.37017076672382565
CYB5B,0.28752722472647235
NQO1,0.15165537575283747
PSMD7,-0.19513240539371055
OSGIN1,-0.4491088420391776
SLC7A5,-0.34708172421615036
FAM101B,-0.2856655708071735
PFN1,0.020825162146104585
KIF1C,-0.2696141935766441
EIF5A,0.0861133203129088
ALDH3A1,0.5104136535430296
IGFBP4,0.4201804602753406
EIF1,0.04845762219547538
STAT3,-0.3210379398338482
PTRF,-0.14690166497975918
BRCA1,-0.33228515179797674
ETV4,0.4982122867633019
G6PC3,0.2355153169937337
UBTF,-0.37101293320390993
HOXB8,0.5763748412915543
ITGA3,0.5324895709331787
KPNA2,-0.23903454504842175
HN1,0.059328158822477065
ACTG1,-0.07582936322274435
SMOX,0.5776836420703801
BCL2L1,0.17593406168847725
MMP24-AS1,-0.2157892914861191
TGM2,0.8326217308651296
TOP1,0.4343209044508611
ZFAS1,0.041612525399356545
CYP24A1,0.1578462800993089
PMEPA1,0.24275650434452173
NFIC,-0.260022789787486
AP1M2,-0.6787367072221808
IER2,0.3444691279978846
GDF15,0.3210920072171201
SPINT2,0.09701743524553434
PPP1R14A,0.11168763870130169
ACTN4,-0.08103426583465093
PAK4,0.422408800699427
BLVRB,-0.18650087018078837
SHKBP1,0.3846891981578867
AXL,0.1950647577690473
VASP,0.3093138850414283
EMP3,0.3448966322534077
ETFB,0.14650282987846724
TNNT1,0.48523304906873677
UBE2S,0.11231488628268238
HMOX1,-0.7785106549539431
MYH9,-0.057144460623454504
WNT7B,-0.23238647029649667
EVA1C,0.5674036420041687
PDXK,-0.6332022404080153
MT-ND1,-0.06989471959850195
KRAS,-0.23745475457492699
